sku,ean,fuente,nombre,origen,imagen,nota
FC-53536505,7503057040416,birdman,Falcon Protein - Nueva Fórmula - Fresa 480g,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_480_FRESA_01.png?v=1781248770,
FC-01318124,7503057040515,birdman,Falcon Protein - Nueva Fórmula - Fresa 960gr,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_960_FRESA_01.png?v=1782521471,
FC-40393268,7503057040423,birdman,Falcon Protein - Nueva Fórmula - Natural 480g,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_480_NATURAL_01.png?v=1781249137,
FC-29984421,7503057040522,birdman,Falcon Protein - Nueva Fórmula - Natural 960 g,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_960_NATURAL_01.png?v=1781247912,
FC-31502844,7503057040355,birdman,Falcon Protein - Nueva Fórmula - Vainilla 480g,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_480_VAINILLA_01.png?v=1782434879,
FC-82042925,7503057040379,birdman,Falcon Protein - Nueva Fórmula - Vainilla 960 gr,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_960_VAINILLA_01_1.png?v=1781248067,
FC-03985090,7503057040393,birdman,Falcon Protein - Nueva Fórmula -Pumpkin Spice 480g Edición Limitada,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FALCON_480_PUMPKIN_01_1.png?v=1788551864,
FC-16339939,7503025737041,birdman,Falcon Protein 1.8 kg - 60 Servicios Nueva Formula - Chocolate,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/FALCON_VAINILLA_1800_LISTING_01_3.jpg?v=1783541893,
FC-30796929,7503025737058,birdman,Falcon Protein 1.8 kg - 60 Servicios Nueva Formula - Vainilla,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/FALCON_VAINILLA_1800_LISTING_01_3.jpg?v=1783541893,
FC-04614023,7503025737003,birdman,Falcon Protein 12 Pack Sobres - Chai,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MP_CHAI_f7f46966-4037-4327-9bea-1bdea82782f9.png?v=1721258398,
FC-59010784,7503025737027,birdman,Falcon Protein 12 Pack Sobres - Chocolate,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MP_CHAI_f7f46966-4037-4327-9bea-1bdea82782f9.png?v=1721258398,
FC-22516107,7503025737683,birdman,Falcon Protein 12 Pack Sobres - Fresa,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MP_CHAI_f7f46966-4037-4327-9bea-1bdea82782f9.png?v=1721258398,
FC-22844910,7503025737010,birdman,Falcon Protein 12 Pack Sobres - Natural,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MP_CHAI_f7f46966-4037-4327-9bea-1bdea82782f9.png?v=1721258398,
FC-11941078,7503025737034,birdman,Falcon Protein 12 Pack Sobres - Vainilla,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MP_CHAI_f7f46966-4037-4327-9bea-1bdea82782f9.png?v=1721258398,
FC-80802444,7503057040812,birdman,Falcon Protein 12 Pack Sobres Nueva Formula - Chai,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Falcon_Chai_03.png?v=1781250679,
FC-83686649,7503057040799,birdman,Falcon Protein 12 Pack Sobres Nueva Formula - Chocolate,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Falcon_Chai_03.png?v=1781250679,
FC-90048160,7503057040829,birdman,Falcon Protein 12 Pack Sobres Nueva Formula - Fresa,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Falcon_Chai_03.png?v=1781250679,
FC-78739107,7503057040850,birdman,Falcon Protein 12 Pack Sobres Nueva Formula - Natural,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Falcon_Chai_03.png?v=1781250679,
FC-38682539,7503057040782,birdman,Falcon Protein 12 Pack Sobres Nueva Formula - Vainilla,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Falcon_Chai_03.png?v=1781250679,
FC-65234248,7500326818219,birdman,Falcon Protein Chocolate 1.17 kg - 39 Servicios,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/1.17KG_CHOCOLATE_33a1a4ad-1732-42a1-ad81-8104b4055b69.png?v=1721258396,
FC-75908505,7503025737515,birdman,Falcon Protein Fresa 1.17 kg - 39 Servicios,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/1.17KG_FRESA_a07dbeec-c956-44eb-a050-8050bd2e1ffd.png?v=1721258396,
FC-27361051,7503037273322,birdman,Fitmingo Protein 10 pack sobres Nuevas Formulas - Blueberry,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Fitmingo_Vanilla_03.png?v=1781046622,
FC-18543595,7503037273339,birdman,Fitmingo Protein 10 pack sobres Nuevas Formulas - Moka,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Fitmingo_Vanilla_03.png?v=1781046622,
FC-87504720,7503037273346,birdman,Fitmingo Protein 10 pack sobres Nuevas Formulas - Vainilla,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Multipack_Fitmingo_Vanilla_03.png?v=1781046622,
FC-14780513,7503037273391,birdman,Fitmingo Protein Proteína en Polvo con Inositol & Vitaminas - Nueva Formula- Blueberry 1.02Kg,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/FITMINGO_LISTINGS_BLUEBERRY1020_01.jpg?v=1781043593,
FC-03210058,7503037273452,birdman,Fitmingo Protein Proteína en Polvo con Inositol & Vitaminas - Nueva Formula- Blueberry 1.7Kg,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Fitmingo_Bag_1700_Blueberry_01_1.png?v=1781045337,
FC-88523700,7503037273360,birdman,Fitmingo Protein Proteína en Polvo con Inositol & Vitaminas - Nueva Formula- Blueberry 510 gr,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FITMINGO_510_BLUEBERRY_01_1.png?v=1781042889,
FC-50466353,7503037273407,birdman,Fitmingo Protein Proteína en Polvo con Inositol & Vitaminas - Nueva Formula- Moka 1.02Kg,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/FITMINGO_LISTINGS_MOKA_1020_01_2.jpg?v=1784655875,
FC-07219482,7503037273469,birdman,Fitmingo Protein Proteína en Polvo con Inositol & Vitaminas - Nueva Formula- Moka 1.7Kg,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Fitmingo_Bag_1700_Moka_01.png?v=1781045742,
FC-59181380,7503037273377,birdman,Fitmingo Protein Proteína en Polvo con Inositol & Vitaminas - Nueva Formula- Moka 510 g,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/FITMINGO_LISTINGS_MOKA510_01_1.jpg?v=1781034781,
FC-34993090,7503037273414,birdman,Fitmingo Protein Proteína en Polvo con Inositol & Vitaminas - Nueva Formula- Vainilla 1.02Kg,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FITMINGO_1020_VAINILLA_01.png?v=1781044232,
FC-46159837,7503037273476,birdman,Fitmingo Protein Proteína en Polvo con Inositol & Vitaminas - Nueva Formula- Vainilla 1.7Kg,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Fitmingo_Bag_1700_Vainilla_01.png?v=1781045742,
FC-57892117,7503037273384,birdman,Fitmingo Protein Proteína en Polvo con Inositol & Vitaminas - Nueva Formula- Vainilla 510 gr,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BM_FITMINGO_510_VAINILLA_01.png?v=1772696918,
FC-77916472,7503025737065,birdman,Parrot Greens & Protein 12 Pack Sobres - Berry vainilla,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MP_BERRYVANILLA_aabdc10c-358f-4b8b-a211-f998ae712c1e.png?v=1721258398,
FC-25076842,7503025737072,birdman,Parrot Greens & Protein 12 Pack Sobres - Matcha,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MP_BERRYVANILLA_aabdc10c-358f-4b8b-a211-f998ae712c1e.png?v=1721258398,
FC-01616372,7500462667726,birdman,Parrot Greens & Protein Berry Vainilla 210 gr - 7 Servicios,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/210G_BERRYVAINILLA_9205577e-16e9-42c2-9c8a-b9635a4a582c.png?v=1721258397,
