ean,sku,marca,nombre,nombre_lista
8423372034275,FC-72034275,Genové,Genocure Guantes Pequeños 1 Par,GENOCURE GUANTES PEQUEÑOS 1 PAR
8423372800290,FC-72800290,Genové,Genocutan Gel Dermatologico,GENOCUTAN GEL DERMATOLOGICO 500ML
8423372800238,FC-72800238,Genové,Genosun FPS 50+,GENOSUN FPS50+ FLUIDO 50ML
8423372801303,FC-72801303,Genové,Genosun FPS 50+,GENOSUN FPS50+ SPRAY 200ML
8423372000072,FC-72000072,Genové,Genosun Pigment Repair Protector Solar Facial FPS 50+,GENOSUN PIGMENT REPAIR PROTECTOR SOLAR FACIAL FPS50+ 50ML
8423372025105,FC-72025105,Genové,Kit-Pilopeptan Intense 15 Sobres 20 ml C/U+pilopeptan Intense 15 Sobres 20 ml C/U,KIT-PILOPEPTAN INTENSE 15 SOBRES 20ML C/U+PILOPEPTAN INTENSE 15 SOBRES 20ML C/U
8423372000331,FC-72000331,Genové,Pilopeptan Locion Anticaida,PILOPEPTAN LOCION ANTICAIDA 100ML
8423372000232,FC-72000232,Genové,Pilopeptan Seb DS Champu Caspa,PILOPEPTAN SEB DS CHAMPU CASPA 150ML
8423372000393,FC-72000393,Genové,Pilopeptan Shampoo Anticaida,PILOPEPTAN SHAMPOO ANTICAIDA 250ML
8423372800610,FC-72800610,Genové,Pilopeptan Woman® Champú Anticaída KIT DUO 2 x 250 ml (500 ml),Pilopeptan Woman® Champú Anticaída KIT DUO 2 x 250 ml (500 ml)
8423372990014,FC-72990014,Genové,Pilopeptan Woman® Comprimidos KIT DÚO de 2 cajas con 60 comprimidos *,Pilopeptan Woman® Comprimidos KIT DÚO de 2 cajas con 60 comprimidos *
8423372800993,FC-72800993,Genové,Pilopeptan Woman® Comprimidos KIT TRÍO de 3 cajas con 30 comprimidos (90 comps),Pilopeptan Woman® Comprimidos KIT TRÍO de 3 cajas con 30 comprimidos (90 comps)
8423372000621,FC-72000621,Genové,Previrit Classic,PREVIRIT CLASSIC 300ML
8423372000645,FC-72000645,Genové,Previrit Sensitive,PREVIRIT SENSITIVE 300ML
7640137610012,FC-37610012,Genové,Quasix,QUASIX CREMA 30GR
7640137410018,FC-37410018,Genové,Sodermix,SODERMIX CREMA 30GR
7640137417024,FC-37417024,Genové,Tranacix C/10 Ampolletas,TRANACIX C/10 AMPOLLETAS 2ML
7640137417062,FC-37417062,Genové,Tranacix Crema Facial,TRANACIX CREMA FACIAL 30G
008400009173,FC-00009173,Glenmark,Bresax,BRESAX 10ML
8904091187324,FC-91187324,Glenmark,Mandikoz 5% Crema C,MANDIKOZ 5% CREMA C/12 SOBRES
008400009159,FC-00009159,Glenmark,Optase,OPTASE GEL 50ML
008400009142,FC-00009142,Glenmark,Optase Mascarilla,OPTASE MASCARILLA
3461020002646,FC-20002646,Institut Esthederm,Esthederm Adaptasun Fotoprotector Solar,ESTHEDERM ADAPTASUN FOTOPROTECTOR SOLAR 200ML
3461020014137,FC-20014137,Institut Esthederm,Esthederm Aha Peel Suero Concentrado,ESTHEDERM AHA PEEL SUERO CONCENTRADO 30ML
3461020014144,FC-20014144,Institut Esthederm,Esthederm Aha Peel Suero Suave,ESTHEDERM AHA PEEL SUERO SUAVE 30ML
3461020014038,FC-20014038,Institut Esthederm,Esthederm Hyaluronic Mascarilla,ESTHEDERM HYALURONIC MASCARILLA 75ML
3461020002981,FC-20002981,Institut Esthederm,Esthederm Intensive Hyaluronic+ Serum,ESTHEDERM INTENSIVE HYALURONIC+ SERUM 30ML
3461020003025,FC-20003025,Institut Esthederm,Esthederm Intensive Hyaluronic+eye Serum,ESTHEDERM INTENSIVE HYALURONIC+EYE SERUM 15ML
3461020004947,FC-20004947,Institut Esthederm,Esthederm Nt Contorno de Ojos,ESTHEDERM NT CONTORNO DE OJOS 15ML
3461020013192,FC-20013192,Institut Esthederm,Esthederm Osmoclean Desmaquillante Ojos y Labios,ESTHEDERM OSMOCLEAN DESMAQUILLANTE OJOS Y LABIOS 125ML
3461023492178,FC-23492178,Institut Esthederm,Esthederm Propolis Crema Perfeccionadora,ESTHEDERM PROPOLIS CREMA PERFECCIONADORA 50ML
3461023492192,FC-23492192,Institut Esthederm,Esthederm Propolis Mascarilla,ESTHEDERM PROPOLIS MASCARILLA 75ML
3461023492185,FC-23492185,Institut Esthederm,Esthederm Propolis Suero-Locion,ESTHEDERM PROPOLIS SUERO-LOCION 130ML
3461023492161,FC-23492161,Institut Esthederm,Esthederm Propolis+ Suero,ESTHEDERM PROPOLIS+ SUERO 30ML
3461020014090,FC-20014090,Institut Esthederm,Esthederm Spiruline,ESTHEDERM SPIRULINE CREMA 50ML
3461020014083,FC-20014083,Institut Esthederm,Esthederm Spiruline Suero,ESTHEDERM SPIRULINE SUERO 30ML
3461020000543,FC-20000543,Institut Esthederm,Esthederm Vitamina C Suero,ESTHEDERM VITAMINA C SUERO 10ML
3461020014076,FC-20014076,Institut Esthederm,Esthederm Vitamina E Suero,ESTHEDERM VITAMINA E SUERO 30ML
8429420107502,FC-20107502,ISDIN,50+ Fusion Water,ISDIN 50+ FUSION WATER FLUIDO 50ML
8429420181137,FC-20181137,ISDIN,Baby Naturals Baby Mist,BABY NATURALS BABY MIST 200ML
8429420303348,FC-20303348,ISDIN,Fp Gel Cream SPF50,FP GEL CREAM SPF50 100ML
8429420322721,FC-20322721,ISDIN,Fp Transparent Spray Ws SPF50,FP TRANSPARENT SPRAY WS SPF50 100ML
8429420196377,FC-20196377,ISDIN,FPS 50+ Fusion Ws Pediatrics,ISDIN FPS50+ FUSION WS PEDIATRICS 50ML
8429420175372,FC-20175372,ISDIN,Glicoisdin 15%,GLICOISDIN 15% CREMA 50G
8429420226135,FC-20226135,ISDIN,Isdinceutics Essential Cleansing,ISDINCEUTICS ESSENTIAL CLEANSING 200ML
8429420113374,FC-20113374,ISDIN,Isdinceutics K-Ox Ojos,ISDINCEUTICS K-OX OJOS 15ML
8429420252493,FC-20252493,ISDIN,Isdinceutics Melaclear Advanced,ISDINCEUTICS MELACLEAR ADVANCED 30ML
8429420132788,FC-20132788,ISDIN,Itraisdin 50 mg,ITRAISDIN 50MG C/7 CAPSULAS
8429420132672,FC-20132672,ISDIN,Itraisdin 50 mg,ITRAISDIN 50MG C/14 CAPSULAS
8429420070974,FC-20070974,ISDIN,Sigermel,SIGERMEL SOLUCION 20ML
8429420216075,FC-20216075,ISDIN,SPF50 Age Repair Fusion Water Color,ISDIN SPF50 AGE REPAIR FUSION WATER COLOR 50ML
8429420226272,FC-20226272,ISDIN,SPF50 Fusion Water Bronze,ISDIN SPF50 FUSION WATER BRONZE 50ML
8429420154186,FC-20154186,ISDIN,SPF50 Fusion Water Color,ISDIN SPF50 FUSION WATER COLOR 50ML
8429420265813,FC-20265813,ISDIN,UREADIN Oleogel,UREADIN Oleogel 400ML
