ean,nombre,marca,costo_derma,costo_bio_sin_iva,costo_bio_con_iva,pvp_ref,disp_derma,disp_bio_web,semaforo_derma,ganador_costo,precio_fc_derma_mas25,precio_fc_bio_mas25
8429420256309,Isdin Bexident Encías Intensivo Colutorio Cuidado Gingival Antiséptico 250 ml,Isdin,413.0,375.0,435.0,590.0,1,no,AMARILLO,Dermaexpress,517,544
8429420256330,Isdin Bexident Encías Tratamiento Coadyuvante Gel Dentífrico Antiséptico y Reparador 75 ml,Isdin,263.9,310.0,359.6,377.0,1,no,AMARILLO,Dermaexpress,330,450
8429420256354,Isdin Bexident Encías Tratamiento Coadyuvante Gel Tópico Gingival Antiséptico y Reparador 50 ml,Isdin,322.0,350.0,406.0,460.0,1,no,AMARILLO,Dermaexpress,403,508
8429420256361,Isdin Bexident Encías Tratamiento Coadyuvante Spray Antiséptico y Reparador 40 ml,Isdin,435.4,430.0,498.8,622.0,1,no,AMARILLO,Dermaexpress,545,624
8429420268296,Isdin Protector Solar Labial SPF 30 Hidratante y Protector 4 g,Isdin,117.6,125.0,145.0,168.0,1,no,AMARILLO,Dermaexpress,147,182
8429420268302,Isdin Protector Labial SPF 50 Hidratante y Protector 14 g,Isdin,117.6,120.0,139.2,168.0,1,no,AMARILLO,Dermaexpress,147,174
8429420280885,Isdin Fotoprotector Invisible Stick SPF50 Barra 10 gr,Isdin,351.4,315.0,365.4,502.0,1,no,AMARILLO,Dermaexpress,440,457
8429420292871,Isdin Reparador Labial Stick Rosa Hidratación y Color 4 g,Isdin,117.6,125.0,145.0,168.0,1,no,AMARILLO,Dermaexpress,147,182
8429420292888,Isdin Reparador Labial Stick Rojo Hidratación y Color 4 g,isdin,117.6,120.0,139.2,168.0,1,no,AMARILLO,Dermaexpress,147,174
8429420292901,Isdin Reparador Labial Stick Granate Hidratación y Color 4 g,Isdin,117.6,120.0,139.2,168.0,1,no,AMARILLO,Dermaexpress,147,174
8429420306936,ISDIN Compact Light SPF50 10 g,Isdin,541.8,550.0,638.0,774.0,1,no,AMARILLO,Dermaexpress,678,798
8429420307988,Isdin FP Stick Pediatrics SPF 50 Protección Solar en Stick 20 g,Isdin,350.0,390.0,452.4,500.0,1,no,AMARILLO,Dermaexpress,438,566
8430340038432,"Armstrong pilexil shampoo anticaspa , caspa seca 300ml.",Armstrong,818.0,600.0,696.0,,1,no,SIN_REF,Bioinstrumental,1023,870
8431166260106,Leti SR Serum anti-rojeces 30ml.,Armstrong,1171.0,950.0,1102.0,,1,no,SIN_REF,Bioinstrumental,1464,1378
8436574360523,Cantabria Labs Iraltone DS Shampoo anticaspa 200 ml,Cantabria Labs,480.0,480.0,556.8,565.0,1,no,ROJO,Dermaexpress,600,696
8436574363388,Cantabria Labs Heliocare 360° Mattifying Brush Polvo protector solar FPS50+ 3 gr,Cantabria Labs,565.0,490.0,568.4,665.0,1,no,ROJO,empate,707,711
8436574363654,Cantabria Labs Neoretin DC Sensitive Areas Loción aclarante corporal 100 ml,Cantabria Labs,688.0,595.0,690.2,810.0,1,no,ROJO,empate,860,863
8436574364460,Cantabria Labs Heliocare 360° Acnimat Crema FPS50+ 50 ml,Cantabria Labs,620.0,615.0,713.4,730.0,1,no,ROJO,Dermaexpress,775,892
8470001527349,Isdin Ureadin Podos Gel Oil Hidratante para pies secos 75 ml,Isdin,290.5,305.0,353.8,415.0,1,no,AMARILLO,Dermaexpress,364,443
8470001585066,Isdin Fotoprotector Fusion Fluid FPS50+ Con color para piel sensible 50 ml,Isdin,517.3,580.0,672.8,739.0,1,no,AMARILLO,Dermaexpress,647,841
8470001625069,Isdin Germisdin Intim Calm Higiene íntima 250 ml,Isdin,177.1,210.0,243.6,253.0,1,no,AMARILLO,Dermaexpress,222,305
8470001806475,Isdin Acniben Body Spray Renovador para piel grasa 150 ml,Isdin,702.1,580.0,672.8,1003.0,1,no,AMARILLO,Bioinstrumental,878,841
8470001855107,Isdin Acniben On the Spot Corrector de granos 15 ml,Isdin,295.4,315.0,365.4,422.0,1,no,AMARILLO,Dermaexpress,370,457
8470001870483,Cantabria Labs Heliocare 360° AK Emulsión Protector solar FPS50+ 50 ml,Cantabria Labs,748.0,780.0,904.8,880.0,1,no,ROJO,Dermaexpress,935,1131
8470001894342,Cantabria Labs Neoretin DC Ultra Emulsión despigmentante 30 ml,Cantabria Labs,960.0,810.0,939.6,1130.0,1,no,ROJO,empate,1200,1175
8470001915528,Isdin Si-Nails Fortalecedor de uñas 2.5 ml,Isdin,419.3,390.0,452.4,599.0,1,no,AMARILLO,Dermaexpress,525,566
8470001939456,Cantabria Labs Iraltone Shampoo fortificante 200 ml,Cantabria Labs,476.0,440.0,510.4,560.0,1,no,ROJO,Dermaexpress,595,638
8470001945761,Cantabria Labs Biretix Tri-Active Spray corporal antiacné 100 ml,Cantabria Labs,799.0,720.0,835.2,940.0,1,no,ROJO,Dermaexpress,999,1044
8470001997302,Cantabria Labs Endocare Radiance Contorno de ojos antiedad 15 ml,Cantabria Labs,1015.0,830.0,962.8,1195.0,1,no,ROJO,Bioinstrumental,1269,1204
8470002063754,Armstrong Pilexil Shampoo anticaída 300 ml,Armstrong,819.0,560.0,649.6,,1,no,SIN_REF,Bioinstrumental,1024,812
8470002111363,Cantabria Labs Neoretin DC Pigment Neutralizer Sérum despigmentante 30 ml,Cantabria Labs,926.0,830.0,962.8,1090.0,1,no,ROJO,Dermaexpress,1158,1204
8470002129856,Isdin Ureadin Ultra 30 Crema exfoliante 50 ml,Isdin,308.0,280.0,324.8,440.0,1,no,AMARILLO,Dermaexpress,385,406
8470002141469,Cantabria Labs Heliocare 360° Compacto protector solar beige FPS50+ 10 gr,Cantabria Labs,531.0,600.0,696.0,625.0,1,no,ROJO,Dermaexpress,664,870
8470002147102,Cantabria Labs Heliocare 360° Sensation Protector solar FPS50+ 50 ml,Cantabria Labs,620.0,595.0,690.2,730.0,1,no,ROJO,Dermaexpress,775,863
8470003233941,Isdin PS After Sun Spray Hidratante y Refrescante 200 ml,Isdin,308.0,380.0,440.8,440.0,0,no,AMARILLO,Dermaexpress,385,551
8470003310338,Cantabria Labs Endocare Gel-crema reparadora antiedad 30 ml,Cantabria Labs,794.0,790.0,916.4,935.0,0,no,ROJO,Dermaexpress,993,1146
8470003808996,Isdin PS After Sun Lotion Hidratación y Refrescante 200 ml,Isdin,308.0,350.0,406.0,440.0,0,no,AMARILLO,Dermaexpress,385,508
850019136333,Lullage Splendor Sérum Elasticidad y Firmeza 30 ml,LULLAGE,639.0,410.0,475.6,,1,no,SIN_REF,Bioinstrumental,799,595
