sku,nombre,tipo,principio_activo,costo,precio_fc,stock,tenia_ref,mejor_confianza,mejor_candidato,motivo
EQ-MAV392,Cetilver 1 Gel 8% C/10 G,generico,Pirfenidona,45.31,73.0,1.0,False,70,CREMA CICATRIZANTE PIRFENIDONA 3.5GR KITOCREAM,no comparable: concentracion difiere ['10000mg']≠['3500mg']
FC-9303047,Cicloferon Crema 5% 2 g,generico,Aciclovir 5%,48.61,65.62,1.0,False,70,ACICLOVIR 200 MG 25 TABLETAS,no comparable: concentracion difiere ['2000mg']≠['200mg']
FC-B25B4654,Cina (Ciprofloxacino),generico,,28.87,39.0,2.0,False,43,CINARIZINA 75 MG 60 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-52200809,Cina 750 mg Caja con 7 tabletas Landsteiner,generico,Levofloxacino 750 mg,28.87,76.0,2.0,False,100,LEVOFLOXACINO 750 MG 7 TABLETAS,precio 7.9x el costo
FC-3CAA7C5C,Cinarizina,generico,CINARIZINA,35.05,57.0,2.0,True,80,CINARIZINA 75 MG 60 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-AMS406,Cinitaprida 25 Comp 1 Mg,generico,Cinitaprida,17.58,119.0,3.0,False,100,CINITAPRIDA 1MG 25 COMPRIMIDOS,precio 6.8x el costo
FC-74A5ABEE,Ciprofloxacino,generico,CIPROFLOXACINO,13.69,33.0,1.0,True,0,,sin resultados VTEX
FC-E9C38DC4,Ciprofloxacino G.I,generico,CIPROFLOXACINO G.I,22.92,37.0,5.0,False,0,,sin resultados VTEX
EQ-NOV005,Cirulan solución oral 400 mg / 20 mL,generico,Metoclopramida,14.38,28.0,2.0,False,82,METOCLOPRAMIDA SOLUCION ORAL GOTAS 1 PIEZA,no comparable: candidato sin tamano declarado
EQ-AMS428,Cisaprida 30 Tab 5 Mg,generico,Cisaprida,23.91,39.0,1.0,False,70,CISAPRIDA 10 MG 30 TABLETAS,no comparable: concentracion difiere ['5mg']≠['10mg']
FMX-302947,Citrato Magnesio/Lecitina Soya-Naturex Capsulas C/30,generico,,45.3,73.0,1.0,False,80,MAGNESIO CITRATO 400MG 60 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-6519183A,Clamoxin (Amoxicilina/Clavulánico 500/125 mg),generico,AMOXICILINA/AC. CLAVULANICO,27.89,38.0,1.0,True,43,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (ac.)
FC-5F30F9D4,Clamoxin (Amoxicilina/Clavulánico 500/125 mg),generico,AMOXICILINA/AC. CLAVULANICO,48.48,83.0,2.0,True,39,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,no comparable: al competidor le faltan 1/2 principios activos (ac.)
FC-F48FF7EF,Clamoxin (Amoxicilina/Clavulánico susp. 250/62.5),generico,AMOXICILINA/AC. CLAVULANICO,35.62,63.0,1.0,True,65,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (ac.)
FC-F22C72BE,Clamoxin 12H (Amoxicilina/Clavulánico),generico,AMOXICILINA/AC. CLAVULANICO,55.03,75.0,5.0,True,63,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,no comparable: al competidor le faltan 1/2 principios activos (ac.)
FC-516C2E89,Clamoxin 12H Jr (Amoxicilina/Clavulánico susp.),generico,AMOXICILINA/AC. CLAVULANICO,36.79,63.0,3.0,True,65,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (ac.)
FC-DDFBABDF,Clamoxin 12H Ped (Amoxicilina/Clavulánico susp.),generico,AMOXICILINA/AC. CLAVULANICO,25.94,40.0,1.0,True,65,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (ac.)
FC-41339950,Claritromicina,generico,CLARITROMICINA,59.45,96.0,2.0,True,0,,sin resultados VTEX
FC-CF18C740,Clindamicina,generico,CLINDAMICINA,30.54,120.0,3.0,True,80,CLINDAMICINA 300 MG 16 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-9A4E4C31,Clindamicina,generico,CLINDAMICINA,88.42,141.48,2.0,True,80,CLINDAMICINA 300 MG 16 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-49021044,Clindamicina 600 mg/4 mL Caja con 5 ampolletas AMSA,generico,Clindamicina,88.42,142.0,2.0,False,72,CLINDAMICINA 600MG/4ML SOLUCION INYECTABLE 1 AMPOLLETA,no comparable: forma difiere inyectable≠solucion
EQ-SON164,Clotrinazol Dual,generico,"Clotrimazol, 200 mg, 1%",50.07,81.0,1.0,False,72,CLOTRIMAZOL V 3 OVULOS 200 MG,no comparable: forma difiere crema≠ovulo
FC-4F737E93,Cloxan,generico,AMBROXOL,12.29,25.0,1.0,True,80,AMBROXOL SOLUCION 120 ML 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FMX-502465,Colageno-Naturex Tabletas C/60,generico,,41.06,66.0,1.0,False,76,SIMI COLAGENO TOPICO 60 CAPSULAS,confianza 76 < 85
EQ-BIO017,Colpragin 30 Tab 10 Mg,generico,Pravastatina,14.6,24.0,1.0,False,100,PRAVASTATINA 10 MG 30 TABLETAS,precio 8.2x el costo
FC-49029613,Combedi DX Complejo B / Dexametasona 6 amp AMSA,generico,,55.76,140.0,1.0,False,7,DEXAMETASONA/LIDOCAINA/VITAMINA B1 B6 B12 6 AMPOLLETAS,confianza 7 < 85
EQ-DEG011,Convifer C/Hierro 1 Sol 3/2/.1mg/110,generico,Ciproheptadina + vitaminas + hierro,33.94,55.0,1.0,False,7,CIPROHEPTADINA 40 MG / CIANOCOBALAMINA 300 MCG SOLUCION 1 PIEZA,"no comparable: al competidor le faltan 2/3 principios activos (vitaminas, hierro)"
EQ-EXA042,Cromoglicato Sodio 1 Sol 40 Mg/5 Ml,generico,Cromoglicato de sodio,45.61,73.0,1.0,False,72,CROMOGLICATO DE SODIO SOLUCION OFTALMICA 5 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-00100013,Cubrebocas tricapa desechable C/100,generico,,80.0,128.0,1.0,False,68,CUBREBOCAS KN95 1 PIEZA,confianza 68 < 85
FC-09747786,Culminax Pediátrico (Carbocisteína) 250 mg/5 mL,generico,Carbocisteína,40.24,65.0,1.0,False,70,CARBOCISTEINA 375MG/5ML SOLUCION 150 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['150ml', '250mg', '5ml']≠['150ml', '375mg', '5ml']"
EQ-MAV407,Daimant 14 Caps 100 Mg,generico,Rimantadina,52.59,85.0,1.0,False,0,,sin resultados VTEX
FC-54221482,Deeflamox Plus,generico,Amoxicilina + Acido clavulanico,42.41,58.0,1.0,False,70,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,no comparable: concentracion difiere ['5ml']≠['875mg']
FC-29670370,Degortzin,generico,Cetirizina,35.71,49.0,2.0,True,80,CETIRIZINA 100 MG SOLUCION 50 ML 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-1FBF5206,Del Viejito Reomatolum,generico,Reomatolum,20.0,28.0,0,False,0,,sin resultados VTEX
FC-2225010,Derman Crema 25 g,generico,Acido undecilenico + Undecilenato de zinc,27.8,37.53,1.0,False,0,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,no comparable: al competidor le faltan 1/2 principios activos (undecilenato)
FC-12225027,Derman Crema 50 g,generico,Ácido undecilénico + Undecilenato de zinc,44.69,60.34,1.0,False,0,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,no comparable: al competidor le faltan 1/2 principios activos (undecilenato)
EQ-AMS288,Dexam/Neomi 1 Gotas 1/3.5mg/5 Ml,generico,Dexanetasona/Neomicina,23.15,38.0,1.0,False,41,DEXAMETASONA / NEOMICINA 1/3.5 MG SOLUCION GOTAS OFTALMICAS 5 ML 1 PIEZA,no comparable: al competidor le sobran principios activos (oftalmicas)
EQ-AMS253,Dexametasona 1 Fa 8mg/2 Ml,generico,Dexametasona,9.28,14.0,11.0,False,72,DEXAMETASONA SOLUCION INYECTABLE 8MG/2ML 1 PIEZA,no comparable: forma difiere inyectable≠solucion
EQ-BEA342,Dexametasona 20 Tab 0.5 Mg,generico,Dexametasona,4.41,8.0,1.0,False,90,DEXAMETASONA 0.50MG 30 TABLETAS,precio 6.6x el costo
EQ-BEA313,Dexametasona 20 Tab 1 Mg,generico,Dexametasona,22.25,36.0,1.0,False,70,DEXAMETASONA SOLUCION INYECTABLE 8MG/2ML 1 PIEZA,"no comparable: concentracion difiere ['1mg']≠['2ml', '8mg']"
EQ-SON214,Dexametasona/Ciprofloxacino Sol,generico,Ciprofloxacino / Dexametasona,43.08,69.0,1.0,False,72,CIPROFLOXACINO / DEXAMETASONA 3.5/1 MG SOLUCION OFTALMICA 5 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
EQ-OFF008,Dexne Nasal 1 Got 10 Ml,generico,Fenilefrina / Dexametasona / Neomicina,37.87,61.0,1.0,False,70,DEXAMETASONA/FENILEFRINA/NEOMICINA 15ML NASAL,no comparable: concentracion difiere ['10ml']≠['15ml']
EQ-OFF010,Dexne Oftálmico 1 Got 5 Ml,generico,Dexametasona / Neomicina,33.74,54.0,1.0,False,51,DEXAMETASONA / NEOMICINA 1/3.5 MG SOLUCION GOTAS OFTALMICAS 5 ML 1 PIEZA,no comparable: al competidor le sobran principios activos (oftalmicas)
EQ-OFF009,Dexne Otico 1 Got 1/3.5/15/10 Ml,generico,Dexametasona / Neomicina / Lidocaína,42.69,84.0,1.0,False,37,DEXAMETASONA/LIDOCAINA/VITAMINA B1 B6 B12 6 AMPOLLETAS,no comparable: al competidor le faltan 1/3 principios activos (neomicina)
FC-0211225,Dibenel cápsulas vitaminas omega 3 C/30,generico,,47.08,127.0,1.0,True,6,SIMI DIAB PLUS 30 CAPSULAS,confianza 6 < 85
FMX-502473,Dibenel-Max Capsulas C/30,generico,"QUERCITINA, OMEGA 3 Y 6, VIT Y MIN",62.12,100.0,1.0,False,0,,sin resultados VTEX
EQ-SON039,Dicleophen 12 Caps 500 Mg,generico,Dicloxacilina,29.76,43.0,5.0,False,82,DICLOXACILINA 12 CAPSULAS,no comparable: candidato sin tamano declarado
EQ-AMS362,Diclofenaco 2 Fa 75mg/3 Ml,generico,Diclofenaco,15.8,26.0,1.0,False,72,DICLOFENACO SODICO 75MG/3ML SOLUCION INYECTABLE 2 AMPOLLETAS,no comparable: forma difiere inyectable≠solucion
FMX-505289,Diclofenaco/Complejo-B-Ultra Grageas C/30,generico,DICLOFENACO C/COMPLEJO B,32.74,53.0,3.0,False,55,DICLOFENACO 100MG 20 TABLETAS,no comparable: al competidor le faltan 1/2 principios activos (complejo)
FC-27424995,Difenhidramina 25 mg,generico,,19.59,32.0,2.0,False,55,DIFENHIDRAMINA 25 MG 30 CAPSULAS,confianza 55 < 85
FC-EADF1484,Diosmina Hesperidina,generico,DIOSMINA HESPERIDINA,39.41,176.0,3.0,False,80,DIOSMINA 600 MG 15 COMPRIMIDOS,no comparable: nuestro catalogo sin concentracion
EQ-SON160,Disons Dex 1 Fa 5/2 Mg,generico,Betametasona,36.86,59.0,1.0,False,72,BETAMETASONA DE DIPROPIONATO / BETAMETASONA DE FOSFATO SODICO SUSPENSION INYECTABLE 1 AMPOLLETA,no comparable: candidato sin tamano declarado
FC-E535DE28,Diurmessel,generico,FUROSEMIDA,9.31,15.0,4.0,True,80,FUROSEMIDA 40 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-830BF3FB,Diviltac,generico,Algestona / Estradiol,34.45,62.0,1.0,False,80,ALGESTONA / ESTRADIOL SOLUCION INYECTABLE 1 ML 1 AMPOLLETA,no comparable: nuestro catalogo sin concentracion
FC-28A424E5,Diziver,generico,HIDROCLOROTIAZIDA,8.15,14.0,3.0,True,80,HIDROCLOROTIAZIDA 25 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-BIO021,Docsi Clorfenamina,generico,Clorfenamina,9.6,16.0,2.0,False,80,CLORFENAMINA 4 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-MAV140,Doltrix 3 Amp 100/20mg/2 Ml,generico,Clonixinato / Hioscina,61.88,100.0,1.0,False,70,CLONIXINATO DE LISINA / BUTILHIOSCINA 125/10MG 20 TABLETAS,"no comparable: concentracion difiere ['20mg', '2ml']≠['10mg']"
FC-93888302,Doxiciclina 100 mg 10 cápsulas Ken LGEN,generico,,23.86,60.0,1.0,False,0,,sin resultados VTEX
