prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
139,HUECO,B,2,3723,SIMIWELL FORTE BETAGLUCANOS / VITAMINA C / ZINC / D3 30 CAPSULAS,,30,capsula,Sistema inmune,Aparato respiratorio,224.0,2,4
140,HUECO,B,2,3979,SINUBERASE PROBIOTICOS EN SUSPENSION BACILLUS CLAUSII 4 BILLONES UFC 10 AMPOLLETAS DE 5 ML,5ml,10,suspension,Lactobacilos,Funcionamiento gastrointestinal,224.0,2,4
141,HUECO,B,2,4195,AGUA DE MAR 100ML SPRAY STERIMAR,100ml,,spray,Aparato respiratorio,Aparato respiratorio,219.0,2,4
142,HUECO,B,2,676,ITRACONAZOL / SECNIDAZOL 33.3/166.6 MG 16 CAPSULAS,166.6mg,16,capsula,Antimicótico,Medicamentos,219.0,2,4
143,HUECO,B,2,2475,MIRTAZAPINA 30 MG 10 TABLETAS DISPERSABLES,30mg,10,tableta,Enfermedades mentales,Medicamentos,219.0,2,4
144,HUECO,B,2,1249,TOPIRAMATO 100 MG 20 TABLETAS,100mg,20,tableta,Anticonvulsivo,Medicamentos,219.0,2,4
145,HUECO,B,2,3185,PRUEBA DE EMBARAZO DIGITAL CLEAR BLUE,,,,Material de diagnóstico,"Higiene, curación y diagnóstico",214.01,2,4
146,HUECO,B,2,1809,NOPAL / CHIA / LINAZA / PIÑA 350 GR 1 PIEZA,350000mg,1,,Laxante,Funcionamiento gastrointestinal,214.0,2,4
147,HUECO,B,2,3733,AMBROXOL / CLENBUTEROL SOLUCION BROXOL PLUS 120 ML 1 PIEZA,120ml,1,solucion,Aparato respiratorio,Medicamentos,209.0,2,4
148,HUECO,B,2,1879,BICALUTAMIDA 50 MG 14 TABLETAS,50mg,14,tableta,Oncológico,Medicamentos,209.0,2,4
149,HUECO,B,2,2187,CANDESARTAN 8 MG 14 TABLETAS,8mg,14,tableta,Antihipertensivo,Medicamentos,209.0,2,4
150,HUECO,B,2,4311,RACECADOTRILO 10MG POLVO 18 SOBRES HIDRASEC,10mg,18,polvo,Antidiarreico,Medicamentos,209.0,2,4
151,HUECO,B,2,277,SAW PALMETTO 160MG 60CAPSULAS,160mg,60,,Medicamentos éticos,Medicamentos,209.0,2,4
152,HUECO,B,2,1437,VALACICLOVIR 500 MG 10 COMPRIMIDOS,500mg,10,tableta,Antiviral,Medicamentos,209.0,2,4
153,HUECO,B,2,3840,PRUEBA RAPIDA INFLUENZA TIPO A Y B 1 PIEZA,,1,,Material de diagnóstico,"Higiene, curación y diagnóstico",206.0,2,4
154,HUECO,B,2,1507,SIMILESS CAFÉ 420 GR 1 PIEZA,420000mg,1,,Peso y metabolismo,Peso y metabolismo,204.0,2,4
155,HUECO,B,2,3410,CANDESARTAN / HIDROCLOROTIAZIDA 16/12.5MG 28 TABLETAS,12.5mg,28,tableta,Antihipertensivo,Medicamentos,199.0,2,4
156,HUECO,B,2,1885,CLONIXINATO DE LISINA / PARGEVERINA 20 TABLETAS,,20,tableta,Analgésicos,Medicamentos,199.0,2,4
157,HUECO,B,2,3944,CORRECTOR IMPERFECCIONES 15GR SIMISKIN,15000mg,,,Dermatológico,Cuidado de la piel y belleza,199.0,2,4
158,HUECO,B,2,4069,ENZIMAS DIGESTIVAS 60 TABLETAS,,60,tableta,Funcionamiento gastrointestinal,Funcionamiento gastrointestinal,199.0,2,4
159,HUECO,B,2,3517,FLUCONAZOL / TINIDAZOL 37.5/500MG 4 TABLETAS,500mg,4,tableta,Antimicótico,Medicamentos,199.0,2,4
160,HUECO,B,2,2919,MODAFINILO 200 MG 7 TABLETAS,200mg,7,tableta,Medicamentos éticos,Medicamentos,199.0,2,4
161,HUECO,B,2,1401,RISPERIDONA 2 MG 40 TABLETAS,2mg,40,tableta,Enfermedades mentales,Medicamentos,199.0,2,4
162,HUECO,B,2,3965,SINUBERASE PROBIOTICOS BACILLUS COAGULANS 1 MILLON UFC 48 COMPRIMIDOS,,48,tableta,Lactobacilos,Funcionamiento gastrointestinal,199.0,2,4
163,HUECO,B,2,3832,TRIMEBUTINA/SIMETICONA 200/75 MG 24 COMPRIMIDOS,75mg,24,tableta,Funcionamiento gastrointestinal,Medicamentos,199.0,2,4
164,HUECO,B,2,3724,TRITICUM VULGARE / FENOXIETANOL 15G/1G/100GR CREMA 15 GR 1 PIEZA,100000mg 1000mg 15000mg,1,crema,Dermatológico,Cuidado de la piel y belleza,199.0,2,4
165,HUECO,B,2,2803,VALSARTAN / HIDROCLOROTIAZIDA 160/12.5MG 14 TABLETAS,12.5mg,14,tableta,Antihipertensivo,Medicamentos,199.0,2,4
166,HUECO,B,2,3374,MARIGUANOL BALSAMO 90 MG CBD TARRO 1 PIEZA,90mg,1,,Analgésicos,Analgesia,196.0,2,4
167,HUECO,B,2,3652,BIBERON ANTICOLICO 260ML 1 PIEZA,260ml,1,,Accesorio,Bebés,189.0,2,4
168,HUECO,B,2,4013,BLOQUEADOR BRUMA AEROSOL FPS50+ 75ML ETERNAL,75ml,,spray,Protector solar,Cuidado de la piel y belleza,189.0,2,4
169,HUECO,B,2,3790,DEXLANSOPRAZOL 60 MG 7 TABLETAS LIBERACIÓN RETARDADA (GEN),60mg,7,tableta,Funcionamiento gastrointestinal,Medicamentos,189.0,2,4
170,HUECO,B,2,2068,ESPIRONOLACTONA / FUROSEMIDA 50/20 MG 16 CAPSULAS,20mg,16,capsula,Antihipertensivo,Medicamentos,189.0,2,4
171,HUECO,B,2,3188,FENOFIBRATO 160 MG 30 CAPSULAS,160mg,30,capsula,Hipolipemiante,Medicamentos,189.0,2,4
172,HUECO,B,2,2981,OLMESARTAN / HIDROCLOROTIAZIDA 40MG/12.5MG 14 TABLETAS,12.5mg 40mg,14,tableta,Antihipertensivo,Medicamentos,189.0,2,4
173,HUECO,B,2,1162,OXCARBAZEPINA 600 MG 20 TABLETAS,600mg,20,tableta,Anticonvulsivo,Medicamentos,189.0,2,4
174,HUECO,B,2,3435,PARACETAMOL / CLORZOXAZONA 300/250MG 30 TABLETAS,250mg,30,tableta,Analgésicos,Medicamentos,189.0,2,4
175,HUECO,B,2,3212,TIRAS REACTIVAS GMATE 25 PIEZAS,,25,,Tiras reactivas,Diabetes,189.0,2,4
176,HUECO,B,2,3756,TRIMEBUTINA / SIMETICONA  0.60/0.60 GR SUSPENSION 26 ML,26ml 600mg,,suspension,Funcionamiento gastrointestinal,Medicamentos,189.0,2,4
177,HUECO,B,2,3757,TRIMEBUTINA/SIMETICONA 100/37.5 MG 20 COMPRIMIDOS,37.5mg,20,tableta,Funcionamiento gastrointestinal,Medicamentos,189.0,2,4
178,HUECO,B,2,1881,DORZOLAMIDA / TIMOLOL 20MG/5MG/1ML SOLUCION 5ML 1 PIEZA,1ml 20mg 5mg 5ml,1,solucion,Oftalmológico,Medicamentos,185.0,2,4
179,HUECO,B,2,3434,TIZANIDINA 2 MG 20 TABLETAS,2mg,20,tableta,Medicamentos éticos,Medicamentos,184.0,2,4
180,HUECO,B,2,2032,VALSARTAN 160 MG 14 COMPRIMIDOS,160mg,14,tableta,Antihipertensivo,Medicamentos,184.0,2,4
181,HUECO,B,2,3753,PARACETAMOL  3.2GR/100ML 120ML JARABE TEMPRA 1 PIEZA,100ml 120ml 3200mg,1,jarabe,Analgésicos,Analgesia,182.0,2,4
182,HUECO,B,2,2825,IPRATROPIO 20 MCG AEROSOL PARA INHALACION 200 DOSIS 1 PIEZA,20mcg,1,spray,Aparato respiratorio,Medicamentos,181.0,2,4
183,HUECO,B,2,3303,ACIDO ASCORBICO / WELLMUNE 300/200MG POLVO EFERVESCENTE SABOR NARANJA 10 SOBRES,200mg,10,polvo,Sistema inmune,Aparato respiratorio,179.0,2,4
184,HUECO,B,2,2826,CARISOPRODOL / MELOXICAM 200MG/15MG 7 TABLETAS,15mg 200mg,7,tableta,Antiinflamatorio,Medicamentos,179.0,2,4
