prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
34,OK,A,0,82,DICLOFENACO 100MG 20 TABLETAS,100mg,20,tableta,Antiinflamatorio,Medicamentos,35.0,6,10,EQ-BRU053,Nediclon Diclofenaco,Bruluagsa,6,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
35,OK,INY,0,498,DICLOFENACO 75 MG / VITAMINAS B12 5 MG / B6 100 MG / B1 100 MG SOLUCION INYECTABLE 6 AMPOLLETAS,100mg 5mg 75mg,6,solucion,Antiinflamatorio,Medicamentos,64.0,2,3,FC-37163266,Tribedoce Compuesto Dx,Bruluart,2,70,solo 1/4 principios activos; concentracion coincide; cantidad difiere 3≠6; forma coincide; equivalente PA+concentración+forma
36,OK,B,0,84,DICLOXACILINA 12 CAPSULAS,,12,capsula,Antibiótico,Medicamentos,43.0,3,6,EQ-SON039,Dicleophen 12 Caps 500 Mg,SON'S,5,99,principios activos completos; cantidad coincide; forma coincide
37,OK,C,0,432,DIFENHIDRAMINA 250 MG JARABE 120 ML 1 PIEZA,120ml 250mg,1,jarabe,Antialérgico,Medicamentos,20.0,2,4,FC-27424995,Difenhidramina 25 mg,Gelpharma,2,82,"principios activos completos; concentracion difiere ['25mg']≠['120ml', '250mg']; cantidad difiere 10≠1; forma difiere capsula≠jarabe; nombre muy parecido (92/63)"
38,OK,B,0,2518,DIOSMINA / HESPERIDINA 450/50MG 20 TABLETAS,50mg,20,tableta,Flebotónico,Medicamentos,173.0,2,4,FC-EADF1484,Diosmina Hesperidina,beadvance,3,82,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; combinado Similares vs monofármaco tuyo; nombre muy parecido (100/63)
39,OK,B,0,2229,DULOXETINA 60MG 14 CAPSULAS O TABLETAS LIBERACION RETARDADA,60mg,14,capsula,Enfermedades mentales,Medicamentos,137.0,2,4,EQ-MAV236,Ideliver Pro Duloxetina,Maver,5,70,principios activos completos; concentracion coincide; cantidad coincide; forma difiere tableta≠capsula
40,OK,C,0,3707,ELECTROLITO 0% AZUCAR FRESA-KIWI 500ML HIDRATASIM,500ml,,,Líquido,Rehidratantes,25.5,2,4,FC-33961373,Suero Pedialyte Sr fresa,Pedialyte,2,70,solo 1/2 principios activos; concentracion coincide; equivalente PA+concentración+forma
41,OK,C,0,599,ELECTROLITOS ORALES COCO 500 ML 1 PIEZA,500ml,1,,Líquido,Rehidratantes,25.5,2,4,FC-33961373,Suero Pedialyte Sr fresa,Pedialyte,2,70,solo 1/2 principios activos; concentracion coincide; equivalente PA+concentración+forma
42,OK,C,0,2965,ELECTROLITOS ORALES FRESA / KIWI 500 ML  1 PIEZA,500ml,1,,Líquido,Rehidratantes,25.5,2,4,FC-33961373,Suero Pedialyte Sr fresa,Pedialyte,2,70,solo 1/2 principios activos; concentracion coincide; equivalente PA+concentración+forma
43,OK,C,0,1594,ELECTROLITOS ORALES FRESA 500 ML 1 PIEZA,500ml,1,,Líquido,Rehidratantes,25.5,2,4,FC-33961373,Suero Pedialyte Sr fresa,Pedialyte,2,70,solo 1/2 principios activos; concentracion coincide; equivalente PA+concentración+forma
