sku,nombre,costo,precio_fc,precio_similares,confianza,nombre_similares,termino,razones
EQ-MAV401,Dexpantenol 1 Cma 5% 30 G,14.12,23,34.0,97,DEXPANTENOL 5/100GR CREMA 30GR SIMIBABY,dexpantenol,concentracion coincide
EQ-SON092,Meclison 1 Got 15 Ml,21.2,34,29.0,94,MECLIZINA / PIRIDOXINA SOLUCION 8.33/16.66 MG GOTAS 15 ML 1 PIEZA,meclozina piridoxina 15ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
FC-03388008,Velatuss levodropropizina jarabe 120 mL,34.55,56,66.0,92,LEVODROPROPIZINA SOLUCION 120 ML 1 PIEZA,levodropropizina 120ml,principios activos completos; concentracion coincide; forma equivalente jarabe~solucion
FC-6040351,Lotrimin-Uno Crema 1% 20 g,70.32,94.94,49.0,92,BIFONAZOL UNGÜENTO 20 GR 1 PIEZA,bifonazol,principios activos completos; concentracion coincide; forma equivalente crema~unguento
EQ-PGE059,Lorefic-D 30 Caps 4000 Ui,38.79,63,149.0,92,VITAMINA D3 (COLECALCIFEROL) 4000UI 30 TABLETAS MASTICABLES,colecalciferol 4000ui,principios activos completos; concentracion coincide; cantidad coincide; forma equivalente capsula~tableta
FC-18754259,Supratex (Levodropropizina) jarabe 120 mL,40.91,66,66.0,92,LEVODROPROPIZINA SOLUCION 120 ML 1 PIEZA,levodropropizina 120ml,principios activos completos; concentracion coincide; forma equivalente jarabe~solucion
EQ-ULT191,Piroxicam 20 Tab 20 Mg,9.49,16,23.0,92,PIROXICAM 20 MG 20 CAPSULAS,piroxicam,concentracion coincide; cantidad coincide; forma equivalente tableta~capsula
EQ-BEA368,Nifedipino 30 Comp 30 Mg,39.23,63,78.0,92,NIFEDIPINO 30 MG 30 COMPRIMIDOS LIBERACION PROLONGADA,nifedipino comp,concentracion coincide
FC-27425008,Groobe (Dimenhidrinato) 50 mg,30.31,49,28.0,90,DIMENHIDRINATO 50 MG 12 CAPSULAS,dimenhidrinato 50mg,principios activos completos; concentracion coincide; cantidad difiere 24≠12; forma coincide
FC-5885E577,Pabesorag,60.47,82.0,159.0,90,IRBESARTAN / HIDROCLOROTIAZIDA 150/12.5MG 14 TABLETAS,irbesartan hidroclorotiazida 12.5mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad difiere 28≠14; forma coincide
FC-03388107,Vomisin (Dimenhidrinato) 50 mg,40.1,65,28.0,90,DIMENHIDRINATO 50 MG 12 CAPSULAS,dimenhidrinato 50mg,principios activos completos; concentracion coincide; cantidad difiere 20≠12; forma equivalente tableta~capsula
EQ-SON237,Expicin 25 Caps 500 Mg,29.56,48,48.0,90,AMPICILINA 500 MG 20 CAPSULAS,ampicilina 500mg,principios activos completos; concentracion coincide; cantidad difiere 25≠20; forma coincide
EQ-PGE052,Ercatriv M Calcitriol 30 Caps 0.25 Mcg,47.13,76,170.0,90,CALCITRIOL  0.25MCG 50 CAPSULAS,calcitriol 0.25mcg,principios activos completos; concentracion coincide; cantidad difiere 30≠50; forma coincide
EQ-AMS221,Telmisartán 28 Tab 80 Mg,51.7,83,104.0,90,TELMISARTAN 80 MG 14 TABLETAS,telmisartan 80mg,principios activos completos; concentracion coincide; cantidad difiere 28≠14; forma coincide
EQ-AMS160,Ketorolaco Trometamina 6 Tab Sl 30 Mg,9.19,15,53.0,90,KETOROLACO 30 MG TABLETAS SUBLINGUALES 4 TABLETAS,ketorolaco,principios activos completos; concentracion coincide; cantidad difiere 6≠4; forma coincide
EQ-MAV415,Esomeprazol 28 Tab 40 Mg,99.14,159,199.0,90,ESOMEPRAZOL 40 MG 14 TABLETAS,esomeprazol 40mg,principios activos completos; concentracion coincide; cantidad difiere 28≠14; forma coincide
EQ-BEA379,Espironolactona,26.86,43,66.0,90,ESPIRONOLACTONA 25 MG 30 TABLETAS,espironolactona 25mg,principios activos completos; concentracion coincide; cantidad difiere 20≠30; forma coincide
EQ-AMS232,Pregabalina 28 Caps 75 Mg,37.48,60,74.0,90,PREGABALINA 75MG 14 CAPSULAS,pregabalina 75mg,principios activos completos; concentracion coincide; cantidad difiere 28≠14; forma coincide
EQ-AMS275,Ezetimiba/Simvasta 28 Tab 10/20 Mg,100.08,161,169.0,90,EZETIMIBA / SIMVASTATINA 10/20MG 14 COMPRIMIDOS,ezetimiba simvastatina 20mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad difiere 28≠14; forma coincide
EQ-EXA035,Neomici Polimixi B Gramicidi 1 Sol 15 Ml,40.58,65,41.0,88,POLIMIXINA B / NEOMICINA / GRAMICIDINA SOLUCION OFTALMICA 15 ML 1 PIEZA,neomici polimixi,concentracion coincide
EQ-NOV154,Belazix C/20 Tab 5mg,33.12,104,99.0,88,LEVOCETIRIZINA 5MG 10TABLETAS,levocetirizina 5mg,principios activos completos; concentracion coincide; cantidad difiere 20≠10
FC-09745997,Pamedan (Dexpantenol) crema 5%,19.53,32,34.0,87,DEXPANTENOL 5/100GR POMADA 30GR TATUAJES,dexpantenol,principios activos completos; concentracion coincide; forma equivalente crema~unguento
FC-09749421,Dexpantenol crema 5% 30 g (Maver Tattoo),14.12,23,34.0,85,DEXPANTENOL 5/100GR POMADA 30GR TATUAJES,dexpantenol,principios activos completos; concentracion coincide; forma equivalente crema~unguento
FC-01007663,Wamindel (Paracetamol) solución infantil 3.2 g/100 mL,15.44,25,34.0,85,PARACETAMOL 3.2GR/100ML PEDIATRICO JARABE 120 ML 1 PIEZA,paracetamol 100ml,principios activos completos; concentracion coincide; forma equivalente solucion~jarabe
FC-58207010,Oxital-C (Vitamina C) 2 g efervescente,62.48,100,61.0,85,ACIDO ASCORBICO 2 GR SABOR NARANJA 10 COMPRIMIDOS EFERVESCENTES,oxital vitamina,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
EQ-MAV236,Ideliver Pro Duloxetina,59.45,96,137.0,85,DULOXETINA 60MG 14 CAPSULAS O TABLETAS LIBERACION RETARDADA,duloxetina 60mg,principios activos completos; concentracion coincide; cantidad coincide; forma equivalente tableta~capsula
