prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
119,HUECO,C,1,3197,NORFLOX/FENAZOP 400/100MG 16TAB ASOFARMA,100mg 400mg,16,tableta,ANTIBIOTICOS,MEDICAMENTOS,379.0,1,2
120,HUECO,C,1,3823,IRBESART/AMLODIP 150/5MG 14TAB APROVASC,150mg 5mg,14,tableta,CARDIOVASCULARES,MEDICAMENTOS,375.0,1,2
121,HUECO,C,1,3630,ACICLOVIR/LIDOCAINA 5G/2G 100ML SOLSPRAY,100ml 2000mg 5000mg,,solucion,ENFERMEDADES DE LA PIEL,MEDICAMENTOS,369.0,1,2
122,HUECO,C,1,4211,DEXKETOPROFENO 50MG/2ML 3AMP,2ml 50mg,3,solucion,ANALGESICOS,MEDICAMENTOS,369.0,1,2
123,HUECO,C,1,2044,ESTROGENOS CREMA VAG O-EQUIN 62.5MG 43GR,100000mg 43000mg 62.5mg,,crema,HORMONALES,MEDICAMENTOS,369.0,1,2
124,HUECO,C,1,4305,FENOFIBRATO/ATORVAST 160MG/20MG 15TAB,160mg 20mg,15,tableta,CARDIOVASCULARES,MEDICAMENTOS,369.0,1,2
125,HUECO,C,1,3497,FOSFOMICINA 3GR PVO GRANULADO 1SOB,3000mg,1,polvo,ANTIBIOTICOS,MEDICAMENTOS,369.0,1,2
126,HUECO,C,1,3909,METFOR/VILDA 500MG/50MG 30COMP GEN,500mg 50mg,30,tableta,DIABETES,MEDICAMENTOS,369.0,1,2
127,HUECO,C,1,3123,BIMATOPROST 0.3MG/1ML 3ML SOL OFT,0.3mg 1ml 3ml,,solucion,OFTALMOLOGICOS,MEDICAMENTOS,364.0,1,2
128,HUECO,C,1,3945,CREMA CALENDULA/BABA/CENTELLA 100GR,100000mg,,crema,ENFERMEDADES DE LA PIEL,MATERIAL DE CURACION,359.0,1,2
129,HUECO,C,1,4086,SULFASALAZINA 500MG LP 60TAB,500mg,60,tableta,ANTIINFLAMATORIOS,MEDICAMENTOS,359.0,1,2
130,HUECO,C,2,2215,SIMIKRILL 60CAP,,60,capsula,MULTIVITAMINICOS,SUPLEMENTOS,351.0,2,3
131,HUECO,C,1,4182,DAPAGLIFL/METF 10/1000MG LP 14TAB GEN,1000mg 100mg 10mg,14,tableta,DIABETES,MEDICAMENTOS,349.0,1,2
132,HUECO,C,2,4558,NICOTIDAMINA MONONUCLEOTIDO 200MG 60CAP,200mg,60,capsula,MULTIVITAMINICOS,SUPLEMENTOS,349.0,2,3
133,HUECO,C,2,3502,PRE-WORKOUT PONCHE FRU 150GR XGEAR,150000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,349.0,2,3
134,HUECO,C,2,4197,S TUBEROSUM 300MG 30CAP RAPID C2K,300mg,30,capsula,PESO Y METABOLISMO,SUPLEMENTOS,349.0,2,3
135,HUECO,C,2,2452,ACIDO LINOLEICO CLA XGEAR 60CAP,1000mg,60,capsula,DEPORTISTAS,SUPLEMENTOS,344.0,2,3
136,HUECO,C,1,3712,PROGESTERONA 100MG ORAL/VAG 15CAP,100mg,15,capsula,HORMONALES,MEDICAMENTOS,344.0,1,2
137,HUECO,C,1,2188,CANDESARTAN 16MG 14TAB,16mg,14,tableta,CARDIOVASCULARES,MEDICAMENTOS,339.0,1,2
138,HUECO,C,1,2842,CEFTIBUTENO 400MG 5CAP,400mg,5,capsula,ANTIBIOTICOS,MEDICAMENTOS,339.0,1,2
139,HUECO,C,2,3740,CETONAS EXO BHB XGEAR SABOR FRESA 240GR,240000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,339.0,2,3
140,HUECO,C,1,3875,MOXIFLOXACINO 5MG/ML SOL GOTAS 5ML,5mg 5ml,,solucion,OFTALMOLOGICOS,MEDICAMENTOS,339.0,1,2
141,HUECO,C,1,3335,MICRODACYN SOL BUCOFARINGEO 240ML,240ml,,solucion,CURACION Y MEDICION,MATERIAL DE CURACION,335.01,1,2
142,HUECO,C,1,3387,OMEPRAZOL/BICAR SOD 20/1100MG 30CAP,1100mg 20mg,30,capsula,ESTOMACALES (GASTRO),MEDICAMENTOS,333.0,1,2
143,HUECO,C,1,3786,SOLIFENACINA 5MG 20TAB,5mg,20,tableta,ESPECIALIDAD,MEDICAMENTOS,330.0,1,2
144,HUECO,C,2,3997,AC ASCORBICO/ZINC CON NANO 30ML GTS,30ml,,gotas,RESPIRATORIOS,SUPLEMENTOS,329.0,2,3
145,HUECO,C,1,3783,HIERRO/AC FOL 90MG/1000MCG 30TABSIMIBABY,1000mcg 100mcg 90mg,30,tableta,MATERNIDAD Y LACTANTES,MEDICAMENTOS,329.0,1,2
146,HUECO,C,2,4359,PROBIOTICOS/PRE/ARAND/JAMAICA 30CAP,,30,capsula,ESTOMACALES (GASTRO),SUPLEMENTOS,329.0,2,3
147,HUECO,C,1,3100,CLOBETASOL 0.05/100GR CREMA 30GR,100000mg 30000mg 50mg,,crema,ENFERMEDADES DE LA PIEL,MEDICAMENTOS,324.0,1,2
148,HUECO,C,2,2424,SIMI FX UCII COLAGENO S/DESNA 40MG 30CAP,40mg,30,capsula,ANALGESICOS,SUPLEMENTOS,324.0,2,3
149,HUECO,C,1,3354,ANTICUERPOS AFINOPUR ADULT 20TAB,,20,tableta,RESPIRATORIOS,MEDICAMENTOS,319.0,1,2
150,HUECO,C,1,3405,ANTICUERPOS AFINOPUR INF 20TAB,,20,tableta,RESPIRATORIOS,MEDICAMENTOS,319.0,1,2
151,HUECO,C,2,4062,CREATINA 5GR MUJER PVO 189GR XGEAR,189000mg 5000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,319.0,2,3
152,HUECO,C,2,3953,GOMITAS CBD 30 PZAS MIX DE FRUTAS,,30,,RELAJANTES,SUPLEMENTOS,319.0,2,3
153,HUECO,C,2,3758,GOMITAS CBD 30PZAS FRUTOS ROJOS,,30,,RELAJANTES,SUPLEMENTOS,319.0,2,3
154,HUECO,C,2,4193,MYO-INOSITOL/D-CHIRO INOSITOL 15SOBRES,2000mg 400mg,15,polvo,MULTIVITAMINICOS,SUPLEMENTOS,319.0,2,3
155,HUECO,C,2,4185,NAD/ARANDANO/MAGNESIO/ RESV POLVO 68GR,200mg 25mg 400mg 50mg 68000mg,,polvo,MULTIVITAMINICOS,SUPLEMENTOS,319.0,2,3
