fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/crema-ponds-s-humectante-50-gramos.html,higiene-y-cuidado-personal,Crema Ponds S Humectante 50 gr,,50 g,g,24,787.2,32.8,2,32.8,MXN,,pieza=37.9; caja=787.2x24; envio $70 / gratis $1100,5184
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-savile-liso-keratina-700-mililitros.html,higiene-y-cuidado-personal,Shampoo Savilé Liso Keratina 700 ml,,700 ml,ml,12,770.4,64.2,2,64.2,MXN,,pieza=73.9; caja=770.4x12; envio $70 / gratis $1100,5368
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-femenina-saba-confort-delgada-con-alas-paquete-con-10-piezas-3392.html,higiene-y-cuidado-personal,Toalla Femenina Saba Confort Delgada con Alas Paquete con 10 Piezas,,10 pza,pza,100,202.0,2.02,3,20.2,MXN,,pieza=22.0; caja=202.0x10; envio $70 / gratis $1100,25319
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-head-shoulders-limpieza-renovadora-180-mililitros.html,higiene-y-cuidado-personal,Shampoo Head & Shoulders Limp. Renovad. 180 ml,,180 ml,ml,12,478.8,39.9,2,39.9,MXN,,pieza=45.9; caja=478.8x12; envio $70 / gratis $1100,5346
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/secret-desodorante-clear-gel-ph-balanced-45-gr.html,higiene-y-cuidado-personal,Desodorante Secret Clear Gel Ph Balanced 45 gr,,45 g,g,12,567.6,47.3,2,47.3,MXN,,pieza=51.4; caja=567.6x12; envio $70 / gratis $1100,8809
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-femenina-saba-confort-regular-sin-alas-paquete-con-10-piezas.html,higiene-y-cuidado-personal,Toalla Femenina Saba Confort Regular Sin Alas Paquete con 10 Piezas,,10 pza,pza,100,150.0,1.5,3,15.0,MXN,,pieza=17.5; caja=150.0x10; envio $70 / gratis $1100,5433
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-speed-stick-fresh-en-barra-60-g.html,higiene-y-cuidado-personal,Desodorante Speed Stick Fresh en Barra 60 g,,60 g,g,12,613.2,51.1,2,51.1,MXN,,pieza=58.9; caja=613.2x12; envio $70 / gratis $1100,5253
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-caprice-especialidades-fuerza-crecimiento-biotina-750-ml.html,higiene-y-cuidado-personal,Shampoo Caprice Especialidades Fuerza Crecimiento Biotina 750 ml,,750 ml,ml,12,553.2,46.1,2,46.1,MXN,,pieza=53.5; caja=553.2x12; envio $70 / gratis $1100,7092
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-caprice-naturals-manzana-760-ml.html,higiene-y-cuidado-personal,Shampoo Caprice Naturals Manzana 760 mL,,760 ml,ml,12,589.2,49.1,2,49.1,MXN,,pieza=56.5; caja=589.2x12; envio $70 / gratis $1100,7083
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-femenina-saba-clip-regular-con-alas-paquete-con-10-piezas.html,higiene-y-cuidado-personal,Toalla Femenina Saba Clip Regular con Alas Paquete con 10 Piezas,,10 pza,pza,140,198.8,1.42,3,14.2,MXN,,pieza=16.5; caja=198.8x14; envio $70 / gratis $1100,5414
