fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Exprezo,mayorista,2026-08-12,,,Caja de Barritas Marinela Sabor fresa con 12 Paquetes,,,pza,1,36.58,36.58,1,,MXN,,sitio_reporta_unidad=39.8 (no se usa; se calcula),exprezo-911-caja-de-barritas-marinela-sabor-fresa-co
Exprezo,mayorista,2026-08-12,,,Mini Barritas Marinela Sabor Piña 67 gr,,67 g,g,1,26.76,26.76,1,,MXN,,sitio_reporta_unidad=29.8 (no se usa; se calcula),exprezo-912-mini-barritas-marinela-sabor-pi-a-67-gr
Exprezo,mayorista,2026-08-12,,,Bolsa de Pan Molido Clásico Bimbo Empanizador 210 gr,,210 g,g,1,27.9,27.9,1,,MXN,,sitio_reporta_unidad=30.4 (no se usa; se calcula),exprezo-913-bolsa-de-pan-molido-cl-sico-bimbo-empani
Exprezo,mayorista,2026-08-12,,,Barritas Marinela Sabor Piña 12 pzas,,12 pza,pza,12,36.58,3.0483,1,,MXN,,sitio_reporta_unidad=39.8 (no se usa; se calcula),exprezo-914-barritas-marinela-sabor-pi-a-12-pzas
Exprezo,mayorista,2026-08-12,,,DONAS AZUCAR 1-6 PZ,,6 pza,pza,6,22.9,3.8167,1,,MXN,,sitio_reporta_unidad=24.9 (no se usa; se calcula),exprezo-915-donas-azucar-1-6-pz
Exprezo,mayorista,2026-08-12,,,DONITA ESPOLVOREADA 1-8 PZ,,8 pza,pza,8,22.9,2.8625,1,,MXN,,sitio_reporta_unidad=25.0 (no se usa; se calcula),exprezo-916-donita-espolvoreada-1-8-pz
Exprezo,mayorista,2026-08-12,,,Pastelito Gansito 50 gr,,50 g,g,1,18.9,18.9,1,,MXN,,sitio_reporta_unidad=20.5 (no se usa; se calcula),exprezo-917-pastelito-gansito-50-gr
Exprezo,mayorista,2026-08-12,,,Pan Molido Clásico Bimbo Empanizador Jumbo Bolsa 5 Kg,,5000 g,g,1,319.9,319.9,1,,MXN,,sitio_reporta_unidad=348.9 (no se usa; se calcula),exprezo-918-pan-molido-cl-sico-bimbo-empanizador-jum
Exprezo,mayorista,2026-08-12,,,Galletas Chavalin Cuetara 100 gr,,100 g,g,1,15.3,15.3,1,,MXN,,sitio_reporta_unidad=17.8 (no se usa; se calcula),exprezo-919-galletas-chavalin-cuetara-100-gr
Exprezo,mayorista,2026-08-12,,,Caja Galletas Canelitas Marinela 12 pzas de 30 gr c/u,,30 g,g,1,36.45,36.45,1,,MXN,,sitio_reporta_unidad=41.5 (no se usa; se calcula),exprezo-920-caja-galletas-canelitas-marinela-12-pzas
Exprezo,mayorista,2026-08-12,,,Galletas Canelitas Marinela 180 gr,,180 g,g,1,20.88,20.88,1,,MXN,,sitio_reporta_unidad=23.2 (no se usa; se calcula),exprezo-921-galletas-canelitas-marinela-180-gr
Exprezo,mayorista,2026-08-12,,,Bolsa de Galletas de Animalitos Cuetara 5 KG,,5000 g,g,1,203.0,203.0,1,,MXN,,sitio_reporta_unidad=203.0 (no se usa; se calcula),exprezo-922-bolsa-de-galletas-de-animalitos-cuetara-
Exprezo,mayorista,2026-08-12,,,Galleta Wafer Chocolate Cuetara 570 Gr,,570 g,g,1,70.64,70.64,1,,MXN,,sitio_reporta_unidad=70.64 (no se usa; se calcula),exprezo-923-galleta-wafer-chocolate-cuetara-570-gr
Exprezo,mayorista,2026-08-12,,,MANTECADAS VAINILLA 1-6 PZ,,6 pza,pza,6,32.9,5.4833,1,,MXN,,sitio_reporta_unidad=35.5 (no se usa; se calcula),exprezo-924-mantecadas-vainilla-1-6-pz
Exprezo,mayorista,2026-08-12,,,Galletas Surtido Rico Gamesa 436 gr.,,436 g,g,1,53.33,53.33,1,,MXN,,sitio_reporta_unidad=60.7 (no se usa; se calcula),exprezo-925-galletas-surtido-rico-gamesa-436-gr-
Exprezo,mayorista,2026-08-12,,,Pastelito Chocorroles Piña 80 gr,,80 g,g,1,22.9,22.9,1,,MXN,,sitio_reporta_unidad=24.5 (no se usa; se calcula),exprezo-926-pastelito-chocorroles-pi-a-80-gr
Exprezo,mayorista,2026-08-12,,,Pan Para Hot Dog Medias Noches Bimbo 340 gr.,,340 g,g,1,45.9,45.9,1,,MXN,,sitio_reporta_unidad=49.4 (no se usa; se calcula),exprezo-927-pan-para-hot-dog-medias-noches-bimbo-340
Exprezo,mayorista,2026-08-12,,,Galletas Polvorones Marinela Paquete de 250 gr,,250 g,g,1,20.88,20.88,1,,MXN,,sitio_reporta_unidad=23.2 (no se usa; se calcula),exprezo-928-galletas-polvorones-marinela-paquete-de-
Exprezo,mayorista,2026-08-12,,,Display Galletas Ritz 356 gr,,356 g,g,1,40.3,40.3,1,,MXN,,sitio_reporta_unidad=40.3 (no se usa; se calcula),exprezo-929-display-galletas-ritz-356-gr
Exprezo,mayorista,2026-08-12,,,Galletas Doraditas Tía Rosa,,,pza,1,18.9,18.9,1,,MXN,,sitio_reporta_unidad=20.5 (no se usa; se calcula),exprezo-930-galletas-doraditas-t-a-rosa
Exprezo,mayorista,2026-08-12,,,Barritas Marinela Sabor Fresa 67 gr,,67 g,g,1,15.9,15.9,1,,MXN,,sitio_reporta_unidad=16.9 (no se usa; se calcula),exprezo-931-barritas-marinela-sabor-fresa-67-gr
Exprezo,mayorista,2026-08-12,,,Galletas Príncipe 147 gr,,147 g,g,1,20.87,20.87,1,,MXN,,sitio_reporta_unidad=23.2 (no se usa; se calcula),exprezo-932-galletas-pr-ncipe-147-gr
Exprezo,mayorista,2026-08-12,,,Galletas con Chocolate Chips Ahoy Paquete 55.2 gr.,,2 g,g,1,7.77,7.77,1,,MXN,,sitio_reporta_unidad=9.5 (no se usa; se calcula),exprezo-933-galletas-con-chocolate-chips-ahoy-paquet
Exprezo,mayorista,2026-08-12,,,Mantecadas Bimbo Charola 625 gr,,625 g,g,1,94.9,94.9,1,,MXN,,sitio_reporta_unidad=101.9 (no se usa; se calcula),exprezo-934-mantecadas-bimbo-charola-625-gr
Exprezo,mayorista,2026-08-12,,,Panquecitos Bimbo Gotas de Chocolate 140 gr.,,140 g,g,1,22.9,22.9,1,,MXN,,sitio_reporta_unidad=24.9 (no se usa; se calcula),exprezo-935-panquecitos-bimbo-gotas-de-chocolate-140
