sku,nombre,categoria,tipo,costo,precio_actual,precio_propuesto,regla,recargo_pct,utilidad_pesos,margen_bruto_pct,variacion_pct,needs_review,manual_like,motivo_regla
FC-35169035,Herbal Essences Rizo,Higiene,marca,73.76,118.02,104,higiene,40.0,30.24,29.1,-11.9,False,False,higiene
FC-35168991,Hask Anti Comezon,Higiene,marca,32.34,51.75,46,higiene,40.0,13.66,29.7,-11.1,False,False,higiene
FC-35231237,Hask Anti Comezon,Higiene,marca,36.73,58.77,52,higiene,40.0,15.27,29.4,-11.5,False,False,higiene
FC-92504539,Ego Mod Met,Higiene,marca,36.73,58.77,52,higiene,40.0,15.27,29.4,-11.5,False,False,higiene
FC-CF18C740,Clindamicina,Otro,generico,30.54,48.87,49,med_generico,60.0,18.46,37.7,0.3,False,False,generico+PA
FC-E4EFC4C2,Fasiclor,Otro,marca,137.92,179.3,187,med_otc_marca,35.0,49.08,26.2,4.3,False,False,otc marca
FC-C101D5B1,Bisoprolol,Otro,generico,97.51,156.02,157,med_generico,60.0,59.49,37.9,0.6,False,False,generico+PA
FC-6EAD98A9,Cepobrom,Otro,marca,47.97,62.37,65,med_otc_marca,35.0,17.03,26.2,4.2,False,False,otc marca
FC-7AA38F97,Pentiver,Otro,marca,31.2,40.56,43,med_otc_marca,35.0,11.8,27.4,6.0,False,False,otc marca
FC-7AF7ACB5,Charlyn,Otro,marca,24.98,32.48,34,med_otc_marca,35.0,9.02,26.5,4.7,False,False,otc marca
FC-38312374,Moco de Gorila Gel Citr,Higiene,marca,24.91,39.86,35,higiene,40.0,10.09,28.8,-12.2,False,False,higiene
FC-92503558,Ego Magnetic Fij-Alta,Cuidado personal,marca,56.61,90.58,80,higiene,40.0,23.39,29.2,-11.7,False,False,higiene
FC-99425580,X-Treme Titan,Cuidado personal,marca,7.37,11.8,13,higiene,40.0,5.63,43.3,10.2,False,False,higiene
FC-99428024,Moco de Gorila Punk,Cuidado personal,marca,7.37,11.8,13,higiene,40.0,5.63,43.3,10.2,False,False,higiene
FC-46073040,Caprice Sp Biotina Fza,Higiene,marca,45.26,72.42,64,higiene,40.0,18.74,29.3,-11.6,False,False,higiene
FC-75001865,Lio 115M,Higiene,marca,17.54,28.07,25,higiene,40.0,7.46,29.8,-10.9,False,False,higiene
FC-46655055,Caprice Volum-Cirl,Higiene,marca,20.02,32.04,29,higiene,40.0,8.98,31.0,-9.5,False,False,higiene
FC-06247468,Ego Fresh C-Cas Fij-Alt,Cuidado personal,marca,62.04,99.27,87,higiene,40.0,24.96,28.7,-12.4,False,False,higiene
FC-92506601,Ego For Men Attraction,Cuidado personal,marca,17.98,28.77,26,higiene,40.0,8.02,30.8,-9.6,False,False,higiene
FC-92506045,Ego Firme Matte,Higiene,marca,17.2,27.52,25,higiene,40.0,7.8,31.2,-9.2,False,False,higiene
FC-48640775,Tocmx2.75M Venda De Yeso C12,Botiquín,marca,2.75,4.41,8,material_curacion,50.0,5.25,65.6,81.4,False,False,material_curacion
FC-48640799,15Cmx2.75M Venda De Yeso C12,Botiquín,marca,2.75,4.41,8,material_curacion,50.0,5.25,65.6,81.4,False,False,material_curacion
FC-46640629,20Cmx2.75M Venda De Yeso,Botiquín,marca,61.02,97.64,92,material_curacion,50.0,30.98,33.7,-5.8,False,False,material_curacion
FC-48640751,5Cmx2.75M Venda De Yeso C12 Pz,Botiquín,marca,147.15,235.45,221,material_curacion,50.0,73.85,33.4,-6.1,False,False,material_curacion
FC-20501673,Hinds Liq Agave Azul,Cuidado personal,marca,59.81,95.7,84,higiene,40.0,24.19,28.8,-12.2,False,False,higiene
FC-45720567,Quita Esmalte Coco,Higiene,marca,2.75,4.41,8,higiene,40.0,5.25,65.6,81.4,False,False,higiene
FC-84437151,Jaloma,Cuidado personal,marca,2.75,4.41,8,higiene,40.0,5.25,65.6,81.4,False,False,higiene
FC-26462078,Ternura Flor-Balon 18 Pzs Chupon Con Miel,GENERAL,marca,47.79,76.47,65,sin_clasificar,35.0,17.21,26.5,-15.0,True,False,ambiguo
FC-54500216,Nivea Sdatarr Giga,Cuidado personal,marca,42.25,67.61,60,higiene,40.0,17.75,29.6,-11.3,False,False,higiene
FC-75064938,Ego Force 24H R-On Dic26,Higiene,marca,42.24,67.59,60,higiene,40.0,17.76,29.6,-11.2,False,False,higiene
FC-08802838,Nivea B Sofmilk Sec400 Ml,Cuidado personal,marca,43.63,69.81,62,higiene,40.0,18.37,29.6,-11.2,False,False,higiene
FC-36040450,Grisi Conchnac P/Manos,Cuidado personal,marca,86.77,138.84,122,higiene,40.0,35.23,28.9,-12.1,False,False,higiene
FC-48691005,Tensolastic Plus Venda Elast,Botiquín,marca,20.02,32.04,31,material_curacion,50.0,10.98,35.4,-3.2,False,False,material_curacion
FC-48691104,Tensolastic Plus Venda Elast,Botiquín,marca,40.68,65.09,62,material_curacion,50.0,21.32,34.4,-4.7,False,False,material_curacion
FC-72629012,Colgate Adulto Med 40 C12,Higiene,marca,36.3,58.08,51,higiene,40.0,14.7,28.8,-12.2,False,False,higiene
FC-86472048,Alcanforada Mayo Somed,Higiene,marca,35.45,56.73,50,higiene,40.0,14.55,29.1,-11.9,False,False,higiene
FC-09419324,Sensodyne Original,Higiene,marca,26.38,42.21,37,higiene,40.0,10.62,28.7,-12.3,False,False,higiene
FC-40013898,Teatrical Lanol/Ros,Cuidado personal,marca,26.3,42.09,37,higiene,40.0,10.7,28.9,-12.1,False,False,higiene
FC-54549819,Corp Niv Soft M P/Seca,Cuidado personal,marca,26.3,42.09,37,higiene,40.0,10.7,28.9,-12.1,False,False,higiene
FC-17360604,Kotex Ant Flujo Abundante S/A 10Pz,Higiene,marca,10.4,16.64,16,higiene,40.0,5.6,35.0,-3.8,False,False,higiene
FC-46072050,Mennen Miel-Mza Sve,Higiene,marca,20.8,33.28,30,higiene,40.0,9.2,30.7,-9.9,False,False,higiene
FC-20501765,Grisi Aloe Vera P/Manos,Cuidado personal,marca,26.48,42.37,38,higiene,40.0,11.52,30.3,-10.3,False,False,higiene
