sku,nombre,categoria,tipo,codigo_barras,costo_compra,precio_venta_fc,margen_bruto_pct,markup_sobre_costo_pct,precio_teorico_costo_x1_6,dif_vs_teorico_pct,precio_similares,precio_del_ahorro,precio_exprezo,ref_mercado_min,dif_vs_mercado_pct,fecha_ref_competencia
FC-49824911,Prudence Iva Dki Mexico S Cond Iva Mexico,Higiene,marca,75022149824911,48.6,69.0,29.6,42.0,77.76,-11.3,,,,,,
FC-14980596,Prudence Mora Cond Mexico 34.10 Mora Cond Mexico,GENERAL,marca,7502214980596,31.03,49.65,37.5,60.0,49.65,0.0,,,,,,
FC-14983726,Prudence Natural Lubricante Natural,Higiene,marca,7502214983726,62.06,99.3,37.5,60.0,99.3,0.0,,,,,,
FC-14985348,Prudence Ull Sensitive Cond 'Ull Sensitive,Higiene,marca,7502214985348,41.31,66.1,37.5,60.0,66.1,0.0,,,,,,
FC-03406501,Quirmex,Botiquín,marca,7503003406501,18.62,29.8,37.5,60.0,29.79,0.0,,,,,,
FC-03406600,Quirmex,Botiquín,marca,7503003406600,89.7,143.53,37.5,60.0,143.52,0.0,,,,,,
FC-34067471,Quirmex,Botiquín,marca,75030034067471,8.72,13.96,37.5,60.1,13.95,0.1,,,,,,
FC-34067781,Quirmex,Botiquín,marca,75030034067781,23.72,37.96,37.5,60.0,37.95,0.0,,,,,,
FC-34067851,Quirmex,Botiquín,marca,75030034067851,17.54,28.07,37.5,60.0,28.06,0.0,,,,,,
FC-34063651,Quirmex,Botiquín,marca,75030034063651,11.7,19.0,38.4,62.4,18.72,1.5,,,,,,
FC-34067301,Quirmex,Botiquín,marca,75030034067301,6.8,10.0,32.0,47.1,10.88,-8.1,,,,,,
FC-29003221,Quirmex,Botiquín,marca,75065529003221,3.7,5.93,37.6,60.3,5.92,0.2,,,,,,
FC-34064021,Quirmex Tarro 1 2 12.00 Cotonetes Tarro 1,Higiene,marca,75030034064021,11.76,18.82,37.5,60.0,18.82,0.0,,,,,,
FC-45720567,Quitaesmalte coco,Higiene,marca,7502245720567,17.2,25.0,31.2,45.3,27.52,-9.2,,,,,,
FC-45720550,Quitaesmalte mora azul,Higiene,marca,7502245720550,17.2,25.0,31.2,45.3,27.52,-9.2,,,,,,
FC-26EA40A4,Ramcinet,Otro,marca,,19.65,25.55,23.1,30.0,31.44,-18.7,,,,,,
FC-47640531,Recuperador una uña amarilla,Cuidado personal,marca,75022347640531,55.6,88.96,37.5,60.0,88.96,0.0,,,,,,
