sku,nombre,principio_activo,presentacion,marca,categoria,precio_fc,costo_fc
FC-D5AC44CA,Amifarin,,20 CAPSULAS,Amifarin,Otro,59.52,45.78
FC-E374F23E,Cefagen,CEFALEXINA,1 SUSPENSION,Cefagen,Otro,63.03,48.48
FC-06217461,Rexona Effi Fresh,,200 G,Rexona,Higiene,90.0,64.12
FC-09498091,Sensodyne Complet + Acc Lim Efec,,90 G,Sensodyne,Botiquín,107.0,70.91
FC-75062927,Desodorante Rexona Pom-Dry 48 H,,STICK 45 G,Rexona,Higiene,75.0,53.5
FC-20501765,Grisi Aloe Vera P/Manos,,80 ML,Grisi,Cuidado personal,64.0,45.15
FC-35469151,Lubriderm Uv Fps15,,120 ML,Lubriderm,Cuidado personal,49.0,34.41
FC-36033735,Ricitos de Oro Oro Agua De Coco,,250 ML,Ricitos de Oro,Higiene,60.0,42.34
FC-40030338,Lomecan V Aclar,,200 ML,Lomecan,Higiene,100.0,70.92
FC-40030963,Teatrical Cel-Ma Nutrit,,400 ML,Teatrical,Cuidado personal,88.0,62.25
FC-46074504,Mennen Zero% Sve,,400 ML,Mennen,Higiene,62.0,43.59
FC-46640629,Venda de yeso 20 cm x 2.75 m,,1 PZA,Protec,Botiquín,61.0,40.28
FC-76040436,Mexsana P/Pies,,SPRAY 150 ML,Mexsana,Higiene,110.0,78.22
FC-88915491,Tarmin 2 Mg /12,,12 TABLETAS,Tarmin,Otro,77.0,58.5
FC-07528939,Lubriderm Thint Psec120 Ml,,,Lubriderm,Cuidado personal,45.0,31.59
FC-36032776,Ricitos de Oro Oro Biopure,,250 ML,Ricitos de Oro,Higiene,105.0,74.31
FC-369D1689,Beneventol,BENEVENTOL,6 CAPSULAS,,Otro,82.29,51.43
FC-40025839,Lomecan V,,200 ML,Lomecan,Higiene,89.0,63.05
FC-42417644,Nivea Cuidado Int P/Mano,,75 ML,Nivea,Cuidado personal,69.0,48.58
FC-428A228F,Gimalxina,GIMALXINA,12 CAPSULAS,,Otro,37.72,23.57
FC-46655727,Mennen Baby Magic Lavan,,90 G,Mennen,Higiene,19.0,12.97
FC-50587FA6,Mexapin,,1 SUSPENSION,Mexapin,Otro,18.11,13.93
FC-52816297,Fructis Pei Oil-R L-Coco,,300 ML,Fructis,Cuidado personal,62.0,43.58
FC-52910971,Fructis Pei B-Dano Quim,,300 ML,Fructis,Cuidado personal,62.0,43.58
FC-95779436,Acetilsalicilico Ef,,20 TABLETAS,Acido,Otro,24.8,19.07
FC-A0D320D1,Amoxicilina,AMOXICILINA,12 CAPSULAS,,Otro,29.4,18.37
FC-B69FCBF4,Lesaclor,,35 TABLETAS,Lesaclor,Otro,189.95,146.11
FC-B72A6420,Pentiver,,1 SUSPENSION,Pentiver,Otro,35.18,27.06
FC-F48FF7EF,Clamoxin,AMOXICILINA/AC. CLAVULANICO,1 SUSPENSION,Clamoxin,Otro,46.31,35.62
FC-06249226,Savile Bio-Sab Creci Res,,700 ML,Savile,Higiene,57.0,40.66
FC-20501673,Hinds Liq Agave Azul,,400 ML,Hinds,Cuidado personal,60.0,42.25
FC-31244486,Lubriderm P/Normal,,120 ML,Lubriderm,Cuidado personal,45.0,31.59
FC-35169035,Herbal Essences Rizo,,200 G,Herbal Essences,Higiene,82.0,57.9
FC-36041402,Hinds Hidr-Extr Almendras,,500 ML,Hinds,Cuidado personal,56.0,39.9
FC-38312374,Moco de Gorila Gel Citr,,100 G,Moco de Gorila,Higiene,46.0,32.34
FC-49824911,Prudence Iva Dki Mexico S Cond Iva Mexico,,C/3,Prudence,Higiene,69.0,48.6
FC-82790504,Nuvel Bifasico Oil,,125 ML,Nuvel,Cuidado personal,39.0,27.75
FC-85800198,Huggies Super,,C/80,Huggies,Higiene,35.0,26.2
FC-89100101,Algodón 200 g,,200 G,Dibak,Botiquín,53.0,35.3
FC-92511261,Nutribela Bio Colageno,,300 G,Nutribela,Cuidado personal,59.0,41.84
FC-95129166,Oral-B 3Dw Advant Med2X1,,,Oral-B,Higiene,75.0,53.19
FC-06248052,Dove Aero Tono Uniforme 3Pack,,150 ML,Dove,Higiene,235.0,167.69
FC-07502441,Johnson S Baby Antes/Dor,,75 G,Johnson,Higiene,22.0,15.51
FC-21012303,Claris Desmaq Aloe,,C/40,Claris,Higiene,14.0,9.43
FC-35231244,Head & Shoulders Anti Comezon,,180 ML,Head & Shoulders,Higiene,35.0,24.91
FC-46072050,Mennen Miel-Mza Sve,,200 ML,Mennen,Higiene,37.0,26.3
FC-48690800,Tensolastic Plus venda elástica 5 cm x 5 m,,5 CM x 5 M,Protec,Botiquín,22.0,14.42
FC-48691005,Tensolastic Plus venda elástica 10 cm x 5 m,,10 CM x 5 M,Protec,Botiquín,40.0,26.48
FC-84900280,Jaloma Spray,,130 ML,Jaloma,Cuidado personal,24.0,16.87
FC-86494262,Oral-B Indicat35Sve,,,Oral-B,Higiene,22.0,15.51
FC-99428024,Moco de Gorila Punk,,80 G,Moco de Gorila,Cuidado personal,20.0,14.15
FC-D4AC123B,Mercurio Aceite Almendras 790523,,C/25,Mercurio,Producto,12.8,8.0
FC-F22C72BE,12H,AMOXICILINA/AC. CLAVULANICO,10 TABLETAS,Clamoxin,Otro,71.54,55.03
FC-01015141,Lubricante original,,56.7 G,Softlub,Higiene,134.0,83.5
FC-06248045,Dove Spy Invisible Dry C3,,150 ML,Dove,Higiene,207.0,147.3
FC-06249240,Savile Ker-Sab Fza Repar,,700 ML,Savile,Higiene,57.0,40.66
FC-0E0A9E42,S,AMOXICILINA/AC. CLAVULANICO,1 SUSPENSION,Clamoxin,Otro,62.39,47.99
FC-14985805,Prudence Chicle C/E Idkt Cond Chicle,,,Prudence,Higiene,69.0,48.6
FC-23272151,Jeringa insulina 0.3 ml,,C/100,Jayor,Botiquín,326.0,217.2
FC-24511636,Silica Shine Sily 3/1 Naran,,12 ML,Silica Shine,Higiene,63.0,44.76
FC-49824391,Prudence 'Ull Retardante C/3,,C/3,Prudence,Producto,56.0,41.31
FC-49853867,Softlub Extra Cond Extra,,C/3,Softlub,Higiene,64.0,45.4
FC-4BD80686,Beneventol,BENEVENTOL,3 CAPSULAS,,Otro,141.08,88.17
FC-4F737E93,Cloxan,,1 SOLUCION,Cloxan,Otro,57.26,44.04
FC-61123009,Odolex Naturals Talco Desodorante,,300 G,Odolex,GENERAL,38.0,28.1
FC-52844825,Desodorante Obao Ritual Natural Coco (Mujer),,Roll-ON 65 G,Obao,Higiene,35,24.95
FC-93025797,Desodorante Axe Men Dark Temp (Hombre),,SPRAY 150 ML,Axe,Higiene,65.0,45.83
FC-75062897,Desodorante Rexona Bamboo 48H,,STICK 45 G,Rexona,Higiene,75.0,53.5
FC-01165321,Pantene Acond Rizos Definid,,400 ML,Pantene,GENERAL,103.0,75.7
FC-08427330,Bepanthen,,100 G,Bepanthen,Otro,216.0,134.5
FC-08491074,Aspirina,,80 TABLETAS,Aspirina,Otro,163.0,124.8
FC-22133286,Grisi Rici Oro Miel,,250 ML,Grisi,Higiene,94.0,66.93
FC-29670370,Degortzin,,1 SOLUCION,Degortzin,Otro,46.43,35.71
FC-40013898,Teatrical Lanol/Ros,,52 G,Teatrical,Cuidado personal,43.0,30.36
FC-48691104,Tensolastic Plus venda elástica 15 cm x 5 m,,15 CM x 5 M,Protec,Botiquín,58.0,38.31
FC-49824771,Prudence Fresa,,C/3,Prudence,Producto,47.0,34.1
FC-4A0245DA,Amlodipino,,100 TABLETAS,Amlodipino,Otro,42.28,32.52
FC-56342227,Sedal Rizos Obedientes,,135 ML,Sedal,Cuidado personal,13.0,9.08
FC-58DB24C4,Bitenver,,30 TABLETAS,Bitenver,Otro,81.62,62.78
FC-6074BB64,Redalip,,30 TABLETAS,Redalip,Otro,27.32,21.01
FC-52933307,Desodorante Obao Game 48Hr,,R-ON 65 G,Obao,Higiene,39.0,27.19
FC-61113000,Odolex Desod,,,Odolex,Higiene,40.0,28.1
FC-69A3C416,Wexpec,,1 SOLUCION,Wexpec,Otro,21.65,16.65
FC-92506601,Ego For Men Attraction,,200 ML,Ego,Cuidado personal,29.0,20.02
FC-C6C20517,Budimin,,20 TABLETAS,Budimin,Otro,40.71,31.31
FC-08820243,Dermodine Ine M 1 37.60 Ine,,,Dermodine,GENERAL,58.97,36.85
FC-08DB70CB,Bicarbonato Velazquez Grande 200G,,C/10,Bicarbonato,Producto,18.41,11.5
FC-93037806,Desodorante Rexona Men Marine (hombre),,SPRAY 150 ML,Rexona,Higiene,77.0,54.68
FC-0ACC5B6A,Mercurio Oxido De Zinc,,C/25,Mercurio,Cuidado personal,14.4,9.0
FC-14982514,Prudence,,C/3,Prudence,Producto,54.56,34.1
FC-14983153,Prudence Grosella,,75 ML,Prudence,Higiene,109.12,68.2
FC-14983726,Prudence Natural Lubricante Natural,,75 ML,Prudence,Higiene,99.3,62.06
FC-14985348,Prudence Ull Sensitive Cond 'Ull Sensitive,,C/3,Prudence,Higiene,66.1,41.31
FC-1812D26D,Hucius Capsulas,,C/30,Hucius,Producto,101.61,78.16
FC-262F2A30,Irbesartan,IRBESARTAN,14 TABLETAS,,Otro,70.37,43.98
FC-16800803,Pañal Diapro Med,,C/10,Diapro,Producto,128,85
FC-45722547,Agua micelar bifásica,,120 ML,Natural-G,Cuidado personal,30.0,21.08
FC-97BEFA1A,Amlodipino,,100 TABLETAS,Amlodipino,Otro,42.28,32.52
FC-9ABFB996,Elaphteron,,20 TABLETAS,Elaphteron,Otro,40.01,30.77
FC-30622622,Desodorante Axe Men Young (hombre),,SPRAY 150 ML,Axe,Higiene,73.33,45.83
FC-06244795,Desodorante Axe Intense 48H (Hombre),,SPRAY 150 ML,Axe,Higiene,65.0,45.83
FC-04D83B46,Pralex,,28 TABLETAS,Pralex,Otro,55.71,42.85
FC-1FBF5206,Del Viejito Reomatolum,,60 G,Del Viejito,Cuidado personal,32.0,20.0
FC-33956775,Pedialyte Sr60 Uva,,,Pedialyte,Higiene,38.89,24.3
FC-33961373,Pedialyte fresa,,500 ML,Pedialyte,Otro,38.1,23.81
FC-34064021,Quirmex Tarro 1 2 12.00 Cotonetes Tarro 1,,C/100,Quirmex,Higiene,18.82,11.76
FC-34067471,Quirmex,,,Quirmex,Botiquín,13.96,8.72
FC-3D0ED22B,Zukedib,,30 TABLETAS,Zukedib,Otro,36.38,27.98
FC-52D2A43A,Zukedib,,30 TABLETAS,Zukedib,Otro,37.81,29.08
FC-33956140,Glucerna fresa,,237 ML,Glucerna,Suplemento,72.0,47.5
FC-33956133,Glucerna chocolate,,237 ML,Glucerna,Gastro,72,47.5
FC-06213906,Desodorante Axe Ice Chill 48H (hombre),,SPRAY 150 ML,Axe,Higiene,65.0,45.83
FC-34067781,Quirmex,,30 CM,Quirmex,Botiquín,37.96,23.72
FC-52876406,Desodorante Obao Men Tatto Aqua (Hombre),,R-ON 65 G,Obao,Higiene,35.0,24.71
FC-34067851,Quirmex,,,Quirmex,Botiquín,28.07,17.54
FC-3D0F54B7,Ibupro-Cafe,,10 CAPSULAS,Ibupro-Cafe,Otro,39.08,30.06
FC-50D044FF,Wermy,,15 CAPSULAS,Wermy,Otro,31.87,24.51
FC-5885E577,Pabesorag,,28 TABLETAS,Pabesorag,Otro,78.62,60.47
FC-5EF90195,Mercurio Flor De Arnica 1430724,,C/50,Mercurio,Producto,88.0,55.0
FC-5F30F9D4,Clamoxin,AMOXICILINA/AC. CLAVULANICO,10 TABLETAS,Clamoxin,Otro,63.03,48.48
FC-60009851,Colgate Triple Acc,,75 ML,Colgate,Higiene,30.72,19.2
FC-60101231,"Tempra ,",,C/12,Tempra,Otro,77.6,59.69
FC-60101378,Lubricante íntimo,,,Piel con Piel,Higiene,164.0,102.5
FC-60101521,Vitacilina,,56.7 G,Vitacilina,Producto,161.28,100.8
FC-60689091,Colgate Trip Xtra,,50 ML,Colgate,Producto,21.96,13.72
FC-06230507,Dove Barra Karite Vainill,,135 G,Dove,Higiene,48.34,30.21
FC-08426944,Flanax,,40 G,Flanax,Otro,187.38,117.11
FC-22111352,Grisi Corp Diabecare,,125 G,Grisi,Higiene,56.0,39.94
FC-22150092,Grisi Leche De Burra,,125 G,Grisi,Higiene,31.0,21.88
FC-26462078,Chupón con miel,,18 PZAS,Ternura,Cuidado personal,83.0,61.02
FC-46059556,Palmolive N-Bal Dermol,,221 ML,Palmolive,Higiene,50.0,35.61
FC-46683133,Palmolive N-Bal Dermo Limp,,120 G,Palmolive,Higiene,19.0,13.07
FC-66873531,Crema dental anticaries,,,Genérico,Higiene,51.91,32.44
FC-66888171,Colgate Max Clean,,120 ML,Colgate,Producto,40.81,25.5
FC-92503558,Ego Magnetic Fij-Alta,,200 ML,Ego,Cuidado personal,26.0,18.39
FC-99425580,X-Treme Titan,,250 G,X-Treme,Cuidado personal,16.0,11.31
FC-BE2ACF63,Valnait Capsulas,,C/30,Valnait,Producto,5.93,4.56
FC-BE76D409,I.M,,1 FRASCO AMPULA,Amcef,Otro,25.64,19.72
FC-C22EBFE6,Perilla N2,,PIEZA,Edigar,Botiquín,25.6,16.0
FC-C4530823,Mercurio Oxido De Zinc 1620824 83521,,C/50,Mercurio,Producto,86.4,54.0
FC-C636D8EA,I.M,,1 FRASCO AMPULA,Ceftriaxona,Otro,12.75,9.8
FC-C8B741F6,Fc 01711/2030,,,Fc,Producto,13.59,10.45
FC-00003920,Arnica Mercurio,,Globulos,Mercurio,Producto,23,15
FC-CB5C11ED,Mercurio Magnesia Anisada 1560824,,C/50,Mercurio,Producto,82.4,51.5
FC-CD261CD5,Doliprofen,,10 TABLETAS,Doliprofen,Otro,29.14,22.41
FC-CF18C740,Clindamicina,CLINDAMICINA,16 CAPSULAS,,Otro,48.87,30.54
FC-01B2F362,Fasiclor,CEFACLOR,1 SUSPENSION,Fasiclor,Otro,64.81,49.85
FC-443C330E,Cefagen,CEFALEXINA,10 TABLETAS,Cefagen,Otro,187.37,144.13
FC-48F732CF,Epicin,ERITROMICINA,20 CAPSULAS,Epicin,Otro,38.43,29.56
FC-492D652F,Cefalver,,20 CAPSULAS,Cefalver,Otro,56.36,43.35
FC-697EEAD0,Kurtosil,,1 CREMA,Kurtosil,Otro,81.23,62.48
FC-72C28BC1,Knoricin,NITROFURANTOINA,1 SUSPENSION,Knoricin,Otro,59.04,45.41
FC-830BF3FB,Diviltac,,1 FRASCO AMPULA,Diviltac,Otro,44.79,34.45
FC-85BDBD3D,Acroxil-C,,1 SUSPENSION,Acroxil-C,Otro,33.05,25.42
FC-86A95D07,Tropharma,,20 TABLETAS,Tropharma,Otro,57.89,44.53
FC-8FB65B79,Klarix,CLARITROMICINA,1 SUSPENSION,Klarix,Otro,106.18,81.67
FC-9538F7D6,Fasiclor,CEFACLOR,1 SUSPENSION,Fasiclor,Otro,105.54,81.18
FC-AEA8C8DA,Namifen,,20 TABLETAS,Namifen,Otro,31.57,24.28
FC-022543CD,Valclan,AMOXICILINA/AC. CLAVULANICO,10 TABLETAS,Valclan,Otro,48.39,37.22
FC-06241206,Dove Dermac Sk-C 48H,,SPRAY 150 ML,Dove,Higiene,45.0,32.14
FC-17376CAE,Aspitak-P,,30 COMPRIMIDOS,Aspitak-P,Otro,25.64,19.72
FC-3A4583F3,Penipot,,1 FRASCO AMPULA,Penipot,Otro,18.3,14.07
FC-4C621D07,Vanmoxol,VANMOXOL,1 SUSPENSION,,Otro,28.85,18.03
FC-E6112F15,Nalixone,NALIXONE,20 TABLETAS,,Otro,101.32,63.32
FC-E69F2E63,Madrid Aceite Eucalipto 2712017 83401,,C/25,Madrid,Producto,17.61,11.0
FC-E826D304,Lincomicina /2Ml 6 Ampolletas,,600 MG,Lincomicina,Producto,62.21,47.85
FC-E9C38DC4,Ciprofloxacino G.I,CIPROFLOXACINO G.I,14 TABLETAS,,Otro,36.68,22.92
FC-EFB599B5,Mercurio Pan Puerco 25401233,,C/25,Mercurio,Cuidado personal,15.2,9.5
FC-27250612,Desodorante Obao Piel Delicada,,R-ON 65 G,Obao,Higiene,39.54,24.71
FC-27286017,Desodorante Obao Classic (Hombre),,R-ON 65 G,Obao,Higiene,42.0,29.55
FC-38891190,Jabon Dove Original,,135 G,Dove,Higiene,37,30.205
FC-1FEA2FB7,Amikacina,AMIKACINA,1 AMPOLLETA,,Otro,46.74,29.21
FC-1FFBB505,Dac,,1 SOLUCION,Supratex,Otro,54.79,42.14
FC-26EA40A4,Ramcinet,,10 TABLETAS,Ramcinet,Otro,25.55,19.65
FC-63975795,Gentamicina,GENTAMICINA,25 COMPRIMIDOS,,Otro,28.13,17.58
FC-6EAD98A9,Cepobrom,CEFADROXIL,12 CAPSULAS,Cepobrom,Otro,62.37,47.97
FC-7AA38F97,Pentiver,,1 SUSPENSION,Pentiver,Otro,40.56,31.2
FC-7AF7ACB5,Charlyn,CIPROFLOXACINO,3 TABLETAS,Charlyn,Otro,32.48,24.98
FC-A909ABC0,Odivitor,,10 TABLETAS,Odivitor,Otro,17.91,13.77
FC-AE5EEDF7,Bactiver,,20 TABLETAS,Bactiver,Otro,63.25,48.65
FC-B2123139,Oxivag,,4 TABLETAS,Oxivag,Otro,83.32,64.09
FC-B25094C4,Lesaclor,,1 SUSPENSION,Lesaclor,Otro,57.76,44.43
FC-08802838,Nivea B Sofmilk Sec400 Ml,,,Nivea,Cuidado personal,119.0,84.49
FC-1751468C,Flospet,,8 TABLETAS,Flospet,Otro,35.53,27.33
FC-1AE9D7E6,Collucort,,1 CREMA,Collucort,Otro,62.21,47.85
FC-1DAD5EF1,Tusilen Ad 1 Ibe 240/30/50Mg/100,,118 ML,Tusilen,Producto,31.49,24.22
FC-281E0F22,Budesonida,,1 SUSPENSION,Budesonida,Otro,199.84,153.72
FC-347A49C7,Amikacina,AMIKACINA,1 AMPOLLETA,,Otro,31.14,19.46
FC-FD92D114,Ovisen,,14 TABLETAS,Ovisen,Otro,13.25,10.19
FC-FEAECBF1,Mercurio Tepezcohuite,,C/25,Mercurio,Cuidado personal,15.2,9.5
FC-FFC25DD1,Perilla N4,,PIEZA,Edigar,Botiquín,31.21,19.5
FC-33950070,Ensure vainilla,,236 ML,Ensure,Suplemento,63.0,42.0
FC-14119032,Jabón azufre con miel,,,Azufre,Higiene,22.0,15.02
FC-25605514,Escudo Antibact,,110 G,Escudo,Higiene,11.0,7.22
FC-40036965,Jabon Asepxia Bicarbon,,100 G,Asepxia,Higiene,53.0,37.68
FC-40004643,Jabon Asepxia Exfoliante,,100 G,Asepxia,Higiene,61.86,38.66
FC-33951008,Pediasure chocolate,,236 ML,Pediasure,Suplemento,66,44
FC-33950209,Pediasure vainilla,,237 ML,Pediasure,Analgésico,66,44
FC-01405335,Naturella noche con alas,,C/8,Naturella,Higiene,28,18.5
FC-19006623,Saba buenas noches,,,Saba,Higiene,15,9.9
FC-00E8A9C7,Fotosun UV100,,125 ML,Fotosun,Cuidado personal,96.56,74.27
FC-14980596,Prudence Mora Cond Mexico 34.10 Mora Cond Mexico,,C/3,Prudence,GENERAL,49.65,31.03
FC-21042481,Manzanilla Ml Hnos 31.40 Hnos,,,Manzanilla,Producto,49.24,30.77
FC-24004581,Ajolotius Pastillas Elderberry Past,,,Ajolotius,Producto,33.6,21.0
FC-45045281,Labello Hydro-C,,,Labello,Otro,90.4,56.5
FC-49800151,Prudence Clasico C/3,,C/3,Prudence,Higiene,46.88,29.3
FC-52400038,Ajolotius Menta Eucal S/Azucar Past Menta Eucal,,,Ajolotius,GENERAL,34.18,21.36
FC-52400212,Ajolotius Jengibre Tab Nati Jengibre,,C/10,Ajolotius,GENERAL,26.65,20.5
FC-52400267,Ajolotius,,,Ajolotius,Otro,117.14,73.21
FC-54504870,Lásico Pomada I.Abeili.C 56.50 56.50,,,Lásico,Otro,88.6,55.37
FC-56034041,Toallitas húmedas antibacterial,,C/50,Escudo,Higiene,24.47,15.29
FC-62746605,Jarabe 250 Ml 1 Nat Ajolotius Bioal Imentos,,JARABE,Jarabe,Otro,36.4,28.0
FC-62746698,Ajolotius,,JARABE,Ajolotius,Otro,80.0,58.9
