sim_sku,descripcion,marca,precio,linea,jerarquia,forma,cantidad,concentraciones,ingredientes,link,fuente
1810,VENDA ELASTICA 5CM X 5MTS 1 PIEZA,,10.0,Material de curación,"Higiene, curación y diagnóstico",,1,,elastica,https://www.farmaciasdesimilares.com/venda_elastica_5cmx5mts_dr_simi/p,vtex
1789,SIMI B DIABETICO COMPLEJO B E INOSITOL 30 CAPSULAS,,73.0,Multivitamínicos,Suplementos y multivitamínicos,capsula,30,,,https://www.farmaciasdesimilares.com/simi_b_diab_30cap_complejo_b_e_inositol/p,vtex
1774,SIMIPAZ FORTE 30 CAPSULAS,,69.0,Relajante,Suplementos y multivitamínicos,capsula,30,,simipaz,https://www.farmaciasdesimilares.com/simipaz_forte_30cap/p,vtex
171,PSYLLIUM PLANTAGO POLVO NATURAL 400 GR 1 PIEZA,,154.0,Laxante,Funcionamiento gastrointestinal,polvo,1,400000mg,psyllium,https://www.farmaciasdesimilares.com/psyllium_plant_natural_400gr/p,vtex
170,PROPAFENONA 150 MG 20 TABLETAS,,137.0,Medicamentos éticos,Medicamentos,tableta,20,150mg,propafenona,https://www.farmaciasdesimilares.com/propafenona_150mg_20tab/p,vtex
1647,GEL LUBRICANTE VAGINAL 113GR 1 PIEZA,,84.0,Gel lubricante,Salud sexual,gel,1,113000mg,vaginal,https://www.farmaciasdesimilares.com/gel_lubricante_vaginal_113gr/p,vtex
164,PENTOXIFILINA 400 MG 30 TABLETAS LIBERACION PROLONGADA,,87.0,Flebotónico,Medicamentos,tableta,30,400mg,pentoxifilina,https://www.farmaciasdesimilares.com/pentoxifilina_400mg_30tab_lp/p,vtex
1593,ELECTROLITOS ORALES NARANJA / MANDARINA 500ML 1 PIEZA,,25.5,Líquido,Rehidratantes,,1,500ml,electrolitos + mandarina,https://www.farmaciasdesimilares.com/electrolito_oral_nja_mdna_500ml/p,vtex
1590,PANTOPRAZOL 20 MG 7 TABLETAS LIBERACION RETARDADA,,46.0,Gastritis,Funcionamiento gastrointestinal,tableta,7,20mg,pantoprazol,https://www.farmaciasdesimilares.com/pantoprazol_20mg_7tab_lr/p,vtex
155,NITROFURANTOINA 100 MG 40 CAPSULAS,,79.0,Antibiótico,Medicamentos,capsula,40,100mg,nitrofurantoina,https://www.farmaciasdesimilares.com/nitrofurantoina_100mg_40cap/p,vtex
1547,CUBREBOCA TRIPLE PLIEGUE 5 PIEZAS,,31.0,Material de curación,"Higiene, curación y diagnóstico",,5,,cubreboca,https://www.farmaciasdesimilares.com/cubreboca_triple_pliegue_paq_5pzas/p,vtex
1524,PAROXETINA 20 MG 20 TABLETAS,,119.0,Enfermedades mentales,Medicamentos,tableta,20,20mg,paroxetina,https://www.farmaciasdesimilares.com/paroxetina_20mg_20tab/p,vtex
1522,GUANTES EXPLORACION MEDIANOS 5 PARES,,39.0,Material de curación,"Higiene, curación y diagnóstico",,,,guantes,https://www.farmaciasdesimilares.com/guantes_explor_bolsa_c_5_pares_med/p,vtex
1497,CINITAPRIDA 1MG 25 COMPRIMIDOS,,119.0,Funcionamiento gastrointestinal,Medicamentos,tableta,25,1mg,cinitaprida,https://www.farmaciasdesimilares.com/cinitaprida_1mg_25comp/p,vtex
1483,DROSPIRENONA / ETINILESTRADIOL 21 COMPRIMIDOS,,295.0,Anticonceptivo,Medicamentos,tableta,21,,drospirenona + etinilestradiol,https://www.farmaciasdesimilares.com/drospirenona_etinilest_21comp/p,vtex
1456,FEXOFENADINA 180 MG PIRQUET 10 COMPRIMIDOS,,144.0,Antialérgico,Medicamentos,tableta,10,180mg,fexofenadina,https://www.farmaciasdesimilares.com/fexofenadina_180mg_pirquet_10comp/p,vtex
145,MICONAZOL 2 GR CREMA 20 GR 1 PIEZA,,14.0,Antimicótico,Medicamentos,crema,1,20000mg 2000mg,miconazol,https://www.farmaciasdesimilares.com/miconazol_crema_20gr/p,vtex
1439,CLINDAMICINA / KETOCONAZOL 7 OVULOS,,91.0,Antimicótico,Medicamentos,ovulo,7,,clindamicina + ketoconazol,https://www.farmaciasdesimilares.com/clindamicina_ketoco_7_ovulos/p,vtex
1437,VALACICLOVIR 500 MG 10 COMPRIMIDOS,,209.0,Antiviral,Medicamentos,tableta,10,500mg,valaciclovir,https://www.farmaciasdesimilares.com/valaciclovir_500mg_10comp/p,vtex
142,METRONIDAZOL 500 MG 30 TABLETAS,,28.0,Antiparasitario,Medicamentos,tableta,30,500mg,metronidazol,https://www.farmaciasdesimilares.com/metronidazol_500mg_30tab/p,vtex
1416,TERMOMETRO DIGITAL 1 PIEZA,,63.0,Material de diagnóstico,"Higiene, curación y diagnóstico",,1,,termometro,https://www.farmaciasdesimilares.com/termometro_digital_1pza/p,vtex
1412,LACTULOSA JARABE 120ML O 125ML 10GR/15ML 1 PIEZA,,89.0,Funcionamiento gastrointestinal,Medicamentos,jarabe,1,10000mg 120ml 125ml 15ml,lactulosa,https://www.farmaciasdesimilares.com/lactulosa_jbe_120ml_o_125ml_10gr_15ml/p,vtex
1409,MELOXICAM / METOCARBAMOL 7.5/215MG 20 CAPSULAS,,82.0,Analgésicos,Medicamentos,capsula,20,215mg,meloxicam + metocarbamol,https://www.farmaciasdesimilares.com/meloxicam_metoc_7_5_215mg_20cap/p,vtex
1403,LOSARTAN / HIDROCLOROTIAZIDA  50/12.5MG 30 COMPRIMIDOS,,129.0,Antihipertensivo,Medicamentos,tableta,30,12.5mg,losartan + hidroclorotiazida,https://www.farmaciasdesimilares.com/losartan_hidro_50_12_5mg_30comp/p,vtex
1401,RISPERIDONA 2 MG 40 TABLETAS,,199.0,Enfermedades mentales,Medicamentos,tableta,40,2mg,risperidona,https://www.farmaciasdesimilares.com/risperidona_2mg_40tab/p,vtex
1357,VENDAS ADHESIVAS (VARIOS TAMAÑOS) 30 PIEZAS,,21.0,Material de curación,"Higiene, curación y diagnóstico",,30,,vendas,https://www.farmaciasdesimilares.com/vendas_adhesivas_30pzas_varios_tamanos/p,vtex
1346,SIMI B HIERRO Y ZINC 60 CAPSULAS,,89.0,Multivitamínicos,Suplementos y multivitamínicos,capsula,60,,,https://www.farmaciasdesimilares.com/simi_b_hierro_y_zinc_60cap/p,vtex
1342,CINTA MICROPOROSA PIEL 1.25CM X 5MTS 1 PIEZA,,12.51,Material de curación,"Higiene, curación y diagnóstico",,1,,cinta,https://www.farmaciasdesimilares.com/cinta_microporosa_piel_1_25x5mts/p,vtex
1341,AGUA OXIGENADA SOLUCION 224 ML 1 PIEZA,,17.0,Material de curación,"Higiene, curación y diagnóstico",solucion,1,224ml,,https://www.farmaciasdesimilares.com/agua_oxigenada_sol_224ml/p,vtex
