id,sku,nombre,codigo_barras,principio_activo,presentacion,tipo_ficha,clave_monografia,fuente_texto,estado
920,EQ-OFF009,Dexne Otico 1 Got 1/3.5/15/10 Ml,7502004401508,Dexametasona / Neomicina / Lidocaína,Frasco 10 mL,medicamento,dexametasona + neomicina + lidocaina,instructivo,pendiente
922,EQ-PGE059,Lorefic-D 30 Caps 4000 Ui,7503027446408,Colecalciferol,Caja con 30 cápsulas,medicamento,colecalciferol,instructivo,pendiente
889,EQ-RAD081,Fumarato Ferroso 50 Tab 200mg,7501563380163,Fumarato ferroso,Caja con 50 tabletas,medicamento,fumarato ferroso,instructivo,pendiente
908,EQ-RAD100,Fenazopiridina 1 Fco 20 Tab 100 Mg,7501563380637,Fenazopiridina,Frasco 20 tabletas,medicamento,fenazopiridina,instructivo,pendiente
902,EQ-SER025,Lonixer 10 Tab 250 Mg,7501258203586,Clonixinato de lisina,Caja con 10 tabletas,medicamento,clonixinato de lisina,instructivo,pendiente
141,FC-9ABFB996,Elaphteron,7502209858251,Lamotrigina,20 TABLETAS,medicamento,lamotrigina,instructivo,pendiente
604,FC-54525051,Tempra Forte C/24,7501095452505,Paracetamol,C/24,medicamento,paracetamol,instructivo,pendiente
905,EQ-SON024,Bentix 1 Cma 40g 3/0.0 %,7502001161511,Clioquinol / Fluocinolona,Tubo 40 g,medicamento,clioquinol + fluocinolona,instructivo,pendiente
805,FC-08100099,Caltrón 600+D calcio 600 mg / vitamina D 125 UI,0714908100099,,Frasco con 60 tabletas,revisar_clasificacion,,fabricante,pendiente
1130,FMX-501200,Laritol loratadina solución 1 mg/ml 60 ml,7502009740305,LORATADINA 1MG /1ML,60 ML,medicamento,loratadina,instructivo,pendiente
901,EQ-SON193,Poral Otico 1 Got 10 Ml,7502001162600,Hidrocortisona / Cloranfenicol / Benzocaína,Frasco 10 mL,medicamento,hidrocortisona + cloranfenicol + benzocaina,instructivo,pendiente
601,FC-71829601,Tribedoce 50000 UI,7501537182960,Hidroxocobalamina + Tiamina + Piridoxina,Amp C/5,medicamento,hidroxocobalamina + tiamina + piridoxina,instructivo,pendiente
1128,FMX-503473,Lactiv Kids tabletas masticables uva C/30,7502259890096,LACTOBACILLUS / BIFIDOBACTERIUM,C/30,suplemento_o_natural,,fabricante,pendiente
804,FC-37103354,Brunadol Infantil paracetamol/naproxeno 100-125 mg/5 mL,7501537103354,,Frasco 100 mL con cucharita,revisar_clasificacion,,fabricante,pendiente
914,EQ-WER046,Mevedim 15 Tab 600 Mg,7502240450827,Diosmina,Caja con 15 tabletas,medicamento,diosmina,instructivo,pendiente
1129,FMX-307574,Aceite bebé Jaloma lavanda 120 ml,759684154935,PARAFINA,120  mL,cuidado_personal_o_material,,fabricante,pendiente
1131,FMX-506779,Catéter Sumitex 20G x 33 mm rosa,7506022316615,,C/1,revisar_clasificacion,,fabricante,pendiente
1127,FMX-301139,Cintapore cinta microporosa 1.25 cm x 5 m piel,7506484500539,,1 ROLLO,revisar_clasificacion,,fabricante,pendiente
891,EQ-ULT103,Diclofenaco 20 Tab 100 Mg,7502216802919,Diclofenaco,Caja con 20 tabletas,medicamento,diclofenaco,instructivo,pendiente
243,FC-01303454,Pantene Control caída anticaída,7501001303454,,400 ML,revisar_clasificacion,,fabricante,pendiente
1133,FC-25100123,Solucion CS PiSA cloruro de sodio 0.9% 500 mL,7501125100123,Cloruro de sodio 0.9%,Frasco 500 mL sistema abierto,medicamento,cloruro de sodio 0.9%,instructivo,pendiente
157,FC-27875568,Desrotan fexofenadina 180 mg C/10,7502227875568,Fexofenadina 180 mg,C/10,medicamento,fexofenadina,instructivo,pendiente
808,FC-09747779,Culminax Adulto (Carbocisteína) 375 mg/5 mL,7502009747779,Carbocisteína,Frasco 150 mL con vaso dosificador,medicamento,carbocisteina,instructivo,pendiente
607,FC-12250181,Rocainol Ung,354312625018,Salicilato de metilo + Mentol,45 G,medicamento,salicilato de metilo + mentol,instructivo,pendiente
810,FC-27424995,Difenhidramina 25 mg,7502227424995,,Caja con 10 cápsulas,revisar_clasificacion,,fabricante,pendiente
585,FC-22322395,Normogotero Sensi Medical,7506022322395,,1 pz,revisar_clasificacion,,fabricante,pendiente
245,FC-35155847,Shampoo Pantene bambú control caída,7500435155847,Surfactantes / formula capilar,400 ML,cuidado_personal_o_material,,fabricante,pendiente
