sku,ticket,linea,nombre_original,nombre_nuevo,marca,presentacion,principio_activo,concentracion,forma_farmaceutica
FC-B69FCBF4,440393,70,LESACLOR (MACLOV) 35 TAB 400 MG,Lesaclor (Maclov),,35 TABLETAS,LESACLOR (MACLOV),400 MG,TABLETAS
FC-F4E9C71F,440393,71,AMOXICILINA 1 SUSP 500MG/5/75 ML,Amoxicilina,,1 SUSPENSION,AMOXICILINA,500MG/5/75,SUSPENSION
FC-428A228F,440393,72,GIMALXINA 12 CAPS 500 MG,Gimalxina,,12 CAPSULAS,GIMALXINA,500 MG,CAPSULAS
FC-FD845E68,440393,73,ACICLOVIR 35 TAB 400 MG,Aciclovir,,35 TABLETAS,ACICLOVIR,400 MG,TABLETAS
FC-B2123139,440393,74,OXIVAG 4 TAB 70 MG,Oxivag,,4 TABLETAS,OXIVAG,70 MG,TABLETAS
FC-11294615,440393,75,AMIKACINA 2 AMP 500MG/2 ML,Amikacina,,2 AMPOLLETA,AMIKACINA,500MG/2,AMPOLLETA
FC-1FEA2FB7,440393,76,AMIKACINA 1 AMP 500MG/2 ML,Amikacina,,1 AMPOLLETA,AMIKACINA,500MG/2,AMPOLLETA
FC-AA905BF7,440393,77,PERLUDIL 1 FA 150/10 MG,Perludil,Perludil,1 FRASCO AMPULA,,150/10 MG,FRASCO AMPULA
FC-AE5EEDF7,440393,78,BACTIVER 20 TAB 400/80 MG,Bactiver,,20 TABLETAS,BACTIVER,400/80 MG,TABLETAS
FC-F8691496,440393,79,BACTIVER F 16 TAB 160/800 MG,Bactiver F,,16 TABLETAS,BACTIVER F,160/800 MG,TABLETAS
FC-6074BB64,440393,80,REDALIP 30 TAB 200 MG,Redalip,,30 TABLETAS,REDALIP,200 MG,TABLETAS
FC-E826D304,440393,81,LINCOMICINA 600MG/2ML 6 AMPOLLETAS,Lincomicina 600Mg/ 6 Ampolletas,,2 ML,,,
FC-4F737E93,440393,82,CLOXAN 1 SOL 300MG/120ML,Cloxan 1,Cloxan,SOL,,300MG/120ML,SOL
FC-DB3B2584,440393,83,CELESBITAN 1 FA C/BER 6MG/2 ML,Celesbitan,,1 FRASCO AMPULA,CELESBITAN,C/BER 6MG/2,FRASCO AMPULA
FC-22B18244,440393,84,CEFOTAXIMA I.M. 1 FA 1G/4 ML,Cefotaxima I.M,,1 FRASCO AMPULA,CEFOTAXIMA I.M,1G/4,FRASCO AMPULA
FC-4A0245DA,440393,85,AMLODIPINO 100 TAB 5 MG,Amlodipino,,100 TABLETAS,AMLODIPINO,5 MG,TABLETAS
FC-29670370,440393,86,DEGORTZIN 1 SOL 100 MG/50 ML,Degortzin 1,Degortzin,SOL,,100 MG/50,SOL
FC-69A3C416,440393,87,WEXPEC 1 SOL 7.5/2MG/5/120 ML,Wexpec 1,Wexpec,SOL,,7.5/2MG/5/120,SOL
FC-F817BC3A,440393,88,SIBICOS 1 CMA 1/100/20 G,Sibicos 1 Cma 1/100/,,20 G,,,
FC-447B30F9,440393,89,BUDESONIDA 5 AMP 0.250MG/2ML,Budesonida,,5 AMPOLLETA,BUDESONIDA,0.250MG/2ML,AMPOLLETA
FC-1CF27DC9,440393,90,DISON DEX 1 FA 5/2 MG,Dison Dex,,1 FRASCO AMPULA,DISON DEX,5/2 MG,FRASCO AMPULA
FC-3CAA7C5C,440393,91,CINARIZINA 60 TAB 75 MG,Cinarizina,,60 TABLETAS,CINARIZINA,75 MG,TABLETAS
FC-E6B50AC3,440393,92,CELECOXIB 10 CAPS 200MG,Celecoxib,,10 CAPSULAS,CELECOXIB,200MG,CAPSULAS
FC-6B2ADEE9,440393,93,PRCTAISOL 1 SUSP/AER 200 DOSIS 12.80 G,Prctaisol 1 Susp/Aer 200 Dosis,,12.80 G,,,
FC-DB4A39AE,440393,94,CALCIO EFE 12 COMP 500 MG,Calcio Efe,,12 COMPRIMIDOS,CALCIO EFE,500 MG,COMPRIMIDOS
FC-FA3D96E6,440393,95,BECATRIM N CALCITRIOL 30 CAPS 0.25 MCG,Becatrim N Calcitriol,,30 CAPSULAS,BECATRIM N CALCITRIOL,0.25 MCG,CAPSULAS
FC-63975795,440393,96,GENTAMICINA 25 COMP 1 MG,Gentamicina,,25 COMPRIMIDOS,GENTAMICINA,1 MG,COMPRIMIDOS
FC-C6C20517,440393,97,BUDIMIN 20 TAB 1 MG,Budimin,,20 TABLETAS,BUDIMIN,1 MG,TABLETAS
FC-58DB24C4,440393,98,BITENVER 30 TAB 24 MG,Bitenver,,30 TABLETAS,BITENVER,24 MG,TABLETAS
FC-1FFBB505,440393,99,SUPRATEX DAC 1 SOL 300/600 MG 120 ML,Supratex Dac 1,Supratex,SOL,,300/600 MG 120,SOL
FC-A909ABC0,440393,100,ODIVITOR 10 TAB 20 MG,Odivitor,,10 TABLETAS,ODIVITOR,20 MG,TABLETAS
FC-82F88FED,440393,101,CAPTOPRIL 30 TAB 25 MG,Captopril,,30 TABLETAS,CAPTOPRIL,25 MG,TABLETAS
FC-6C2878CF,440393,102,BUDENOVA SUSP 125 MG/ML 5 AMP 2ML,Budenova Susp 125 Mg/,,5 AMPOLLETA,BUDENOVA SUSP 125 MG/,2ML,AMPOLLETA
FC-3B001F9B,440393,103,AMLODIPINO 30 TAB 5 MG,Amlodipino,,30 TABLETAS,AMLODIPINO,5 MG,TABLETAS
FC-B25094C4,440393,104,LESACLOR 1 SUSP 200MG/5/125 ML,Lesaclor,,1 SUSPENSION,LESACLOR,200MG/5/125,SUSPENSION
FC-26EA40A4,440393,105,RAMCINET 10 TAB 10 MG,Ramcinet,,10 TABLETAS,RAMCINET,10 MG,TABLETAS
FC-885F2723,440393,106,CARBAMAZEPINA 20 TAB 200 MG,Carbamazepina,,20 TABLETAS,CARBAMAZEPINA,200 MG,TABLETAS
FC-DF8ADDAB,440393,107,ERISPAN 1 FA 4MG/3 ML,Erispan,,1 FRASCO AMPULA,ERISPAN,4MG/3,FRASCO AMPULA
FC-50AC2C82,440393,108,ERISPAN 1 FA 8MG/2 ML,Erispan,,1 FRASCO AMPULA,ERISPAN,8MG/2,FRASCO AMPULA
FC-281E0F22,440393,109,BUDESONIDA 1 SUSP NEB AMP 0.500MG,Budesonida,,1 SUSPENSION,BUDESONIDA,NEB AMP 0.500MG,SUSPENSION
FC-9F67BB73,440393,110,AMIFARIN 1 SUSP 250MG 60 ML,Amifarin,Amifarin,1 SUSPENSION,,250MG 60,SUSPENSION
FC-4FD413D2,440393,111,HASPEN 3 AMP 20 MG/1 ML,Haspen,,3 AMPOLLETA,HASPEN,20 MG/1,AMPOLLETA
FC-0BDE9283,440393,112,CLOPHIVEN 200 DOSIS 50 MCG/15 G,Clophiven 200 Dosis 50 Mcg/,,15 G,,,
FC-97BEFA1A,440393,113,AMLODIPINO 100 TAB 5 MG,Amlodipino,,100 TABLETAS,AMLODIPINO,5 MG,TABLETAS
FC-DEAF33B0,440393,114,BACTIVER 1 SUSP 40/200/5/120 ML,Bactiver,,1 SUSPENSION,BACTIVER,40/200/5/120,SUSPENSION
FC-77FE5C83,440393,115,SONBLEFAM S 1 CMA 100 G/40 G,Sonblefam S 1 Cma /40 G,,100 G,,,
FC-C636D8EA,440393,116,CEFTRIAXONA I.M. 1 FA 1G/3.5 ML,Ceftriaxona I.M,,1 FRASCO AMPULA,CEFTRIAXONA I.M,1G/3.5,FRASCO AMPULA
FC-44B6751A,440393,117,LAUR AQUITO 500/100/30/4 MG 3 AMP,Laur Aquito 500/100/30/4 Mg,,3 AMPOLLETA,LAUR AQUITO 500/100/30/4 MG,,AMPOLLETA
FC-9B93AC4C,440393,118,BENEVENTOL 1 SUSP 100MG/5ML/50 ML,Beneventol,,1 SUSPENSION,BENEVENTOL,100MG/5ML/50,SUSPENSION
FC-2001A890,440393,119,AMPIGRIN AD 3 AMP 500/500/100/30MG/3 ML,Ampigrin Ad,,3 AMPOLLETA,AMPIGRIN AD,500/500/100/30MG/3,AMPOLLETA
FC-DE106642,440393,120,AMPIGRIN INF 3 AMP 250/200/100/30MG/3 ML,Ampigrin Inf,,3 AMPOLLETA,AMPIGRIN INF,250/200/100/30MG/3,AMPOLLETA
FC-BE76D409,440393,121,AMCEF I.M. 1 FA 1G/3.5 ML,Amcef I.M,,1 FRASCO AMPULA,AMCEF I.M,1G/3.5,FRASCO AMPULA
FC-07F04F88,440393,122,AMCEF I.M. 1 FA 500MG/2 ML,Amcef I.M,,1 FRASCO AMPULA,AMCEF I.M,500MG/2,FRASCO AMPULA
FC-357D4A17,440393,123,CEFTAZIDIMA 1 FA 1G/3 ML,Ceftazidima,,1 FRASCO AMPULA,CEFTAZIDIMA,1G/3,FRASCO AMPULA
FC-5D9DFA3D,440393,124,NORQUINOL 20 TAB 400 MG,Norquinol,,20 TABLETAS,NORQUINOL,400 MG,TABLETAS
FC-E9C38DC4,440393,125,CIPROFLOXACINO G.I. 14 TAB 500 MG,Ciprofloxacino G.I,,14 TABLETAS,CIPROFLOXACINO G.I,500 MG,TABLETAS
