sku,ticket,linea,nombre_original,nombre_nuevo,marca,presentacion,principio_activo,concentracion,forma_farmaceutica
FC-25149221,FL-080826,112,Electrolit Eresa-Kiwi 625 Ml | Lab Pisa 2 20.50 Electrolit Eresa-Kiwi 625 Ml | Lab Pisa,Eresa-Kiwi 625 Pisa 2 20.50 Eresa-Kiwi 625 Pisa,Electrolit,,,,
FC-25104268,FL-080826,113,Electrolit Èresa 625 Mi | Lab Pisa $ 20.50 Descto: 2.0K $ 20.09 [75011251747971 Electrolid Èresa 625 Mi | Lab Pisa,Èresa 625 Mi Pisa K [ Electrolid Èresa 625 Mi Pisa,Electrolit,,,,
FC-51747971,FL-080826,114,Electrolid Mora Azul 625 Ml | Lab Pisa 2 $ 20.50 Descto: 2.0K $ 20.09 Mora Azul 625 Ml | Lab Pisa,Electrolid Mora Azul 625 2 K Mora Azul 625,Pisa,,,,
FC-43471900,FL-080826,115,Absorsec C/120 Clark Descto: 2.0% Toa Hum Kimberly Absorsec C/120 Clark Toa Hum,Absorsec Clark Toa Hum Absorsec Clark Toa Hum,Kimberly,C/120,,,
FC-34064021,FL-080826,116,Cotonetes Quirmex Tarro C/100 1 Quirmex 2 12.00 Cotonetes Quirmex Tarro C/100 1 Quirmex,Cotonetes Quirmex Tarro 1 Quirmex 2 12.00 Cotonetes Quirmex Tarro 1 Quirmex,,C/100,,,
FC-14983153,FL-080826,117,Lubricante Prudence Grosella 75 Ml | Dkt Mexico $ 68.20 Lubricante Prudence Grosella 75 Ml | Dkt,Prudence Grosella 75 Dkt Mexico Lubricante Prudence Grosella 75 Dkt,,,,,
FC-43454811,FL-080826,118,Toa -Hum Huggies Cuidado Puro C/80 | Kimberly Clark $ 39.60 Descto: 2.0K 9 Huggies Cuidado Puro C/80 | Kimberly Clark,Hum Huggies Cuidado Puro Clark K 9 Huggies Cuidado Puro Clark,Kimberly,C/80,,,
FC-49824391,FL-080826,119,Retardante C/3 Descto: 9.0% [7502214985348] Cond Prudence 'Ull Retardante C/3,Retardante [ ] Cond Prudence 'Ull Retardante,,C/3,,,
FC-14985348,FL-080826,120,Cond Prudence 'Ull Sensitive C/3 Dkt Cond Prudence 'Ull Sensitive,Cond Prudence 'Ull Sensitive Dkt Cond Prudence 'Ull Sensitive,,C/3,,,
FC-49853867,FL-080826,121,Cond Prudence Extra Pleasure C/3 Dkt Cond Prudence Extra Pleasure,Cond Prudence Extra Pleasure Dkt Cond Prudence Extra Pleasure,,C/3,,,
FC-49824911,FL-080826,122,Cond Prudence Iva C/3 Dki Mexico S Cond Prudence Iva C/3 Mexico,Cond Prudence Iva Dki Mexico S Cond Prudence Iva Mexico,,C/3,,,
FC-14983726,FL-080826,124,Lubricante Prudence Natural 75 Ml Lubricante Prudence Natural,Prudence Natural 75 Lubricante Prudence Natural,,,,,
FC-49824771,FL-080826,125,Fresa C/3 I Dkt Descto: 9.0% Cond Prudence Fresa I Dkt Cond Prudence,Fresa I Dkt Cond Prudence Fresa I Dkt Cond Prudence,,C/3,,,
FC-58203691,FL-080826,126,0.9 Mt Hilo Dental Ğum Expanding Sunstar Americasi $ 18.90 Descto: 2.0% Hilo Dental Ğum Expanding Sunstar Americasi,0.9 Mt Hilo Dental Ğum Expanding Americasi Hilo Dental Ğum Expanding Americasi,Sunstar,,,,
FC-14982514,FL-080826,127,Chocolate C/3 Descto: 9.0% Cond Prudence Dkt Mexico $ 34.10 Chocolate C/3 Cond Prudence Dkt Mexico,Chocolate Cond Prudence Dkt Mexico,,C/3,,,
FC-45079011,FL-080826,128,Eresa Pomada Labello Bde Merico $ 56.50 Descto: 2.0% Eresa Pomada Labello Bde Merico,Eresa Pomada Labello Bde Merico,,,,,
FC-14980596,FL-080826,129,Mora C/3 Dkt Cond Prudence Mexico 34.10 Mora C/3 Cond Prudence Mexico,Mora Dkt Cond Prudence Mexico 34.10 Mora Cond Prudence Mexico,,C/3,,,
FC-49800151,FL-080826,130,Cond Prudence Clasico C/3 I Dkt Mexico 32.20 Descto: 9.0% Cond Prudence Clasico C/3 I Dkt Mexico,Cond Prudence Clasico I Dkt Mexico 32.20 Cond Prudence Clasico I Dkt Mexico,,C/3,,,
FC-62746605,FL-080826,131,Jarabe 250 Ml 1 Nat Descto: 2.0% Ajolotius Bioal Imentos Jarabe 250 Ml 1 Ajolotius Bioal Imentos,Jarabe 250 1 Nat Bioal Imentos Jarabe 250 1 Bioal Imentos,Ajolotius,,,,
FC-45045281,FL-080826,132,Pomada Labello Hydro-C I Bde Mexico $ 56.50 Descto: 2.0% $ 55.37 Pomada Labello Hydro-C I Bde Mexico,Labello Hydro-C I Bde Mexico,,,,,
FC-54504870,FL-080826,133,Pomada I.Abeili.C Lasico | Rde Mexic( 56.50 Descto: 2.0% $ 55.37 56.50 Lasico | Rde Mexic(,I.Abeili.C Lasico Rde Mexic( 56.50 56.50 Lasico Rde Mexic(,,,,,
FC-52400212,FL-080826,134,Ajolotius Jengibre Tab C/10 Bioalimentos Nati Jengibre C/10 Bioalimentos,Jengibre Tab Nati Jengibre,Bioalimentos,C/10,,,
FC-24004581,FL-080826,135,Ajolotius Pastillas Elderberry Past Bioalimentos Nat $ 21.00 Descto: 2.0% Ajolotius Pastillas Elderberry Past,Pastillas Elderberry Past Nat Ajolotius Pastillas Elderberry Past,Bioalimentos,,,,
FC-56034041,FL-080826,136,Toa Hum Escudo Intbacterial C/50 $ Besbfrzy Clark 15.60 Toa Hum Escudo Intbacterial C/50 Besbfrzy Clark,Hum Escudo Intbacterial $ Besbfrzy Clark 15.60 Toa Hum Escudo Intbacterial Besbfrzy Clark,,C/50,,,
FC-21042481,FL-080826,137,1083 Oro Manzanilla Ml Hnos 31.40 Descto: 2.0% Oro Manzanilla Hnos,Oro Hnos 31.40 Oro Hnos,Manzanilla,,,,
FC-52400267,FL-080826,138,", Ajolotius Jbe Elderberry 2501 Bioalimentos Nati 74.70 $ $ 73.21 Elderberry 2501 Bioalimentos Nati",Jbe Elderberry 2501 Nati 74.70 $ Elderberry 2501 Nati,Bioalimentos,,,,
FC-62746612,FL-080826,139,Ajolotius Jarabe S/Azucar 250 Ml. I Bioalimentos Nati $ 89.20 $ 87.42 Ajolotius Jarabe S/Azucar 250 Ml. I Bioalimentos N,Jarabe S/Azucar 250 . I Nati,Bioalimentos,,,,
FC-52400038,FL-080826,140,Ajolotius Menta Eucal S/Azucar Past Ajolotius Menta Eucal,Menta Eucal S/Azucar Past Menta Eucal,Ajolotius,,,,
FC-62746698,FL-080826,141,Ajolotius Jarabe Reforzado 250 Ml Bioalimentos Nat: Ajolotius Jarabe Reforzado,Jarabe Reforzado 250 Nat: Ajolotius Jarabe Reforzado,Bioalimentos,,,,
FC-62746643,FL-080826,143,Ajolotius Menta Fucal C/10 Bioalimentos Ajolotius Menta Fucal,Menta Fucal Ajolotius Menta Fucal,Bioalimentos,C/10,,,
