sku,ticket,nombre_original,nombre_nuevo,marca,presentacion,forma,principio_activo,categoria,notas
FC-14704156,FL-080826,Supos Adto C/10 Otc Descto: 7.0% Senosiain Senosiain Supos Adto C/10 Senosiain Senosiain,Senosiain Adto,Senosiain,C/10,SUPOSITORIO,,Medicamento,
FC-14704163,FL-080826,Supos Ine C/10 Descto: 7.0% Senosiain Supos C/10 Senosiain,Senosiain Ine Supos,Senosiain,C/10,SUPOSITORIO,,Medicamento,
FC-08344488,FL-080826,Lactopram 430 Mg Cap C/20 Progela 29.30 Descto: Lactopram 430 Mg Cap C/20 Progela,Lactopram 29.30 Descto: Cap,Lactopram,430 MG · C/20,CAPSULAS,,Medicamento,
FC-65095718,FL-080826,/ 30 | Pg Pere Descto: 2.0% Centrum Tab $ 152.20 Pg Pere Centrum Tab,/ 30 | Pg Pere Descto: 2.0% Centrum Tab $ 152.20 Pg Pere Centrum Tab,,,,,,nombre_ticket_invalido
FC-01015141,FL-080826,Soft Lub Lubricante Original 56.7 Soft Lubricante Original,Softlub Lubricante Original 56.7 Soft Lubricante Original,Softlub,,Lubricante,,Higiene personal,
FC-08496701,FL-080826,Aspirina Eferv Tab C/12 Bayer Otc Aspirina Eferv C/12,Aspirina Eferv Eferv,Aspirina,C/12,TABLETAS,,Medicamento,
FC-88915491,FL-080826,Tarmin 2 Mg /12 Tab Bruluagsa Descto: 2.05 6. Tarmin 2 Mg /12 Tab Bruluagsa,Tarmin 2 Mg,Tarmin,12 TABLETAS,,,Producto,
FC-08344747,FL-080826,Descto: 2.0% Afrodit 400 Ui 46.00 $ $ 45.08 Afrodit 400 Ui,Afrodit $,Afrodit,400 UI,,,Producto,
FC-08895196,FL-080826,Ky6 Tab C/10 Bruluart 5 $ 9.50 $ 9.31 $ 47.50 Bruluart E74011 Bayer 67 Aspirina Tab,Aspirina Ky6 5 E74011 67 Tab,Aspirina,C/10,TABLETAS,,Medicamento,
FC-89810021,FL-080826,Herklin Ne Sham 60 Ml | Armstrong 1 $ 81.00 Herklin Ne Sham 60 Ml | Armstrong,Armstrong Herklin Ne,Armstrong,60 ML,SHAMPOO,,Producto,
