sku,ticket,linea,nombre,lote,codigo_barras
FC-895EA161,FMX-080826,2,FC 01/11/2030|,251101-2,
FC-33B15A58,FMX-080826,3,Clave 302174,251101-3,
FC-66055303,FMX-080826,4,MEDITEST PRUEBA EMBARAZO C/1,,
FC-DF92D3CF,FMX-080826,5,FC 01/09/2028,RIJ25078,
FC-757DEC8A,FMX-080826,6,FC 01/04/2029,S26094,
FC-108AB6B6,FMX-080826,7,FC 01/04/2028,262440,
FC-22ECC02C,FMX-080826,8,FC 01/05/2029,0038U,
FC-23B68FA1,FMX-080826,9,FC 01/04/2028,U0377,
FC-87621652,FMX-080826,10,FC 01/04/2028,262526,
FC-2E70DB7E,FMX-080826,11,FC 01/12/2028,25540582,
FC-A166D66F,FMX-080826,12,FC 01/11/2028,26E0001,
FC-7B88B47E,FMX-080826,13,FC 01/04/2028,262415,
FC-F349C6DD,FMX-080826,14,FC 01/12/2027,256971,
FC-D751525D,FMX-080826,15,ANIMALIN GOTAS C/30 ML,255714,
FC-4F05124E,FMX-080826,16,GELCAVIT-9M CAPSULAS C/30,26C658,
FC-85632ABD,FMX-080826,17,FC 01/01/2028,26E40105,
FC-0906E3E1,FMX-080826,18,FC 01/04/2028,26A50040,
FC-4C3B3B9C,FMX-080826,19,FC 01/09/2027,25J662,
FC-1812D26D,FMX-080826,20,HUCIUS CAPSULAS C/30,26E00193,
FC-EC96A027,FMX-080826,21,FC 01/02/2028,264672,
FC-3B7A358D,FMX-080826,22,FC 01/04/2028,28D007,
FC-16C9352F,FMX-080826,23,FC 01/04/2028,26C694,
FC-70F50FD7,FMX-080826,24,FC 01/03/2029,261SP0301,
FC-D33D7A48,FMX-080826,25,FC 01/03/2028,26F30810,
FC-00E8A9C7,FMX-080826,26,FOTOSUN-UV100 CREMA C/125 ML S0-FP$,,
FC-D4342B8E,FMX-080826,27,FC 01/01/2028,260021,
FC-CF0AF2F6,FMX-080826,28,FC 01/02/2028,260915,
FC-5CA1622C,FMX-080826,29,FC 01/05/2028,26Y01966,
FC-D0A49FC8,FMX-080826,30,FC 01/04/2027,25402039,
FC-EB5DCEBE,FMX-080826,31,FC 01/02/2029,202602,
FC-DA34D88D,FMX-080826,32,ERBITRAX TABLETAS 250 MG C/7,R2601829,
FC-BE2ACF63,FMX-080826,33,VALNAIT CAPSULAS C/30,26A01381,
FC-D259E551,FMX-080826,34,FC 01/03/2027,SP020325,
FC-2782A4D6,FMX-080826,35,FC 01/12/2027,25N50408,
FC-E3CFD0A7,FMX-080826,36,FC 01/02/2028,260205,
FC-39E059E2,FMX-080826,37,FC 01/04/2028,604203,
FC-DF39BB27,FMX-080826,38,ALEVARIN CAPSULAS C/45,26A01563,
FC-79C61297,FMX-080826,39,FC 01/09/2027,0925961,
FC-EC93AE62,FMX-080826,40,FC 01/06/2028,0164389,
FC-223B5D76,FMX-080826,41,FC 01/05/2028,26141117,
FC-86606791,FMX-080826,42,FC 01/09/2027,25J664,
FC-6D9926C2,FMX-080826,43,Clave 300591,,
FC-2E7C6CD6,FMX-080826,44,FC 01/03/2028,26540074,
FC-D3FB53E9,FMX-080826,45,FC 01/03/2028,26140731,
FC-E3C83D59,FMX-080826,46,FC 01/06/2028,26740135,
FC-99F357DC,FMX-080826,47,FC 01/05/2028,0165578,
FC-23CE9602,FMX-080826,48,FC 01/06/2028,0161683,
FC-CAABC42B,FMX-080826,49,FC 01/01/2028,26AM34,
FC-E94C79BA,FMX-080826,50,FC 01/06/2028,,
FC-D75138BB,FMX-080826,51,FC 01/10/2028,12026092,
FC-6E084251,FMX-080826,52,FC 01/11/2027,5LM122A,
FC-30F56906,FMX-080826,53,FC 01/11/2028,06026056,
FC-046D8251,FMX-080826,54,FC 01/05/2028,0526059,
FC-D69881BF,FMX-080826,55,FC 01/03/2028,B80046,
FC-C3B611F3,FMX-080826,56,FC 01/03/2028,60705,
FC-98518364,FMX-080826,57,FC 01/04/2030,2504863004,
FC-F89008C6,FMX-080826,58,FC 01/04/2030,3189826E,
FC-355851E7,FMX-080826,59,FC 01/05/2030,3211825F,
FC-C8B741F6,FMX-080826,60,FC 01711/2030,251102-2,
FC-3B0C76C8,FMX-080826,61,FC 01/11/2030,251102-1,
FC-BE0A0E46,FMX-080826,62,CATETER/INTRAVENOSO-SUMITEX PU 22 G X 25 MM C/1 AZUL,3189325E,
FC-ED3B0AD4,FMX-080826,63,FC 01/05/2028,V26Y020,
FC-83941A95,FMX-080826,64,FC 01/06/2030,2506885808,
FC-E9FA700D,FMX-080826,65,FC 01/01/2031,2601973605,
FC-BE977010,FMX-080826,66,FC 01/06/2030,2506885602,
FC-35A0F20F,FMX-080826,67,FC 01/02/2028,P26F301,
FC-AE88EDDC,FMX-080826,68,FC 01/12/2027,221205-1,
FC-EE6593B4,FMX-080826,69,FC 13/12/2030,2512962201,
FC-93322783,FMX-080826,70,FC 01/04/2030,2504864301,
FC-20C90A6D,FMX-080826,71,FC 01/12/2030,1A12505,
FC-7607DDA7,FMX-080826,72,FC 01/03/2030,2503853712,
FC-8C9A304D,FMX-080826,73,FC 06/06/2030,2506885503,
FC-BA60704A,FMX-080826,74,FC 15/04/2030,2504864004,
FC-8EF34E83,FMX-080826,75,FC 01/11/2029,2411816005,
