estado,match,sku,nombre,marca,categoria,ean,src,off_name,brands,img
"MISS","http 404","FMX-307574","Aceite bebé Jaloma lavanda 120 ml","JALOMA","Cuidado personal","759684154935","","","",""
"MISS","http 404","FMX-301516","Aceite bebé Jaloma manzanilla y caléndula 120 ml","JALOMA","Cuidado personal","759684154881","","","",""
"MISS","http 404","FC-00001292","Aceite de ricino Frasco 50 mL Mercurio","Mercurio","Herbolario","3311000001292","","","",""
"MISS","http 429","FC-C9F4ACCC","Acemetacina","Ultra","Analgésico","7502216800984","","","",""
"MISS","http 429","EQ-NOV179","Acetif 10 Tab 500 Mg","Novag","Analgésico","7501075727425","","","",""
"MISS","http 404","FC-84431050","Acetona Jaloma chico","Jaloma","Cuidado personal","7596844310502","","","",""
"MISS","http 404","FC-84437151","Acetona Jaloma mediano","Jaloma","Cuidado personal","7596844371510","","","",""
"MISS","http 404","FC-1BF03D35","Acetonido De Fluocinolona Cma","Acetonido","Producto","7503004908721","","","",""
"MISS","http 429","FC-FD845E68","Aciclovir","Aciclovir","Antibiótico","7501349028791","","","",""
"MISS","http 429","EQ-ALP0300","Acido Acetilsalicilico Ef 20 Tab 300 Mg","Psicofarma","Medicamentos","7501384504908","","","",""
"MISS","http 404","FC-07457826","Acondicionador Pantene Brillo Extremo","Pantene","Higiene","7501007457826","","","",""
"MISS","http 404","FC-01165321","Acondicionador Pantene Rizos Definid","Pantene","GENERAL","7501001165321","","","",""
"MISS","http 404","FC-85BDBD3D","Acroxil-C","Acroxil-C","Antibiótico","7502001169296","","","",""
"MISS","http 404","FC-05965071","Acroxil-C","Acroxil-C","Antibiótico","7502001163775","","","",""
"MISS","http 404","FC-80596011","Aderogyl ampolletas C/4","Aderogyl","Vitaminas","3664798059601","","","",""
"MISS","http 429","FC-11780359","Aflusil (Ibuprofeno) suspensión 2 g/100 mL","Loeffler / Russek","Analgésico","7502211780359","","","",""
"MISS","no_esta","FC-06134531","Afrin Adulto spray 20 mL","Afrin","Respiratorio","7501050613453","","","",""
"MISS","no_esta","FC-06247327","Afrin No Drip Descongestivo Nasal spray","BAYER","Respiratorio","7501050624732","","","",""
"MISS","http 404","FC-08344747","Afrodit","Afrodit","Producto","7503008344747","","","",""
"MISS","http 404","FC-48335305","Agua Oxigenada","Protec","Botiquín","7501048335305","","","",""
"MISS","http 404","FC-83351691","Agua Oxigenada Protec","Protec","Botiquín","7501048335169","","","",""
"MISS","http 404","FC-77620056","Agua destilada La Flor","La Flor","Botiquín","7506313000353","","","",""
"MISS","http 404","FC-83351381","Agua oxigenada Protec","Protec","Botiquín","7501048335138","","","",""
"MISS","http 404","FC-52400267","Ajolotius Jarabe Elderberry","Ajolotius","Respiratorio","7506452400267","","","",""
"MISS","http 404","FC-62746612","Ajolotius Jarabe Sin azucar","Ajolotius","Respiratorio","7500462746612","","","",""
"MISS","http 404","FC-62746698","Ajolotius Jarbe con Bioalimentos/propoleo y vitamina C y A","Ajolotius","Vitaminas","7500462746698","","","",""
"MISS","http 404","FC-62746643","Ajolotius menta eucalipto pastillas","Ajolotius","Herbolario","7500462746643","","","",""
"MISS","http 404","FC-52400038","Ajolotius menta eucalipto sin azúcar pastillas","Ajolotius","Herbolario","7506452400038","","","",""
"MISS","http 404","FC-82200016","Aktyzar omeprazol Solfran capsulas C/120","Aktyzar","Gastro","7501482200016","","","",""
"MISS","http 404","FC-86901100","Alcohol Etilico Azul 71.6","Dibar","Botiquín","7501868901100","","","",""
"MISS","http 404","FC-68901131","Alcohol Etilico Azul 71.6","Dibar","Botiquín","7501868901131","","","",""
"MISS","http 404","FC-68901117","Alcohol Etilico Azul 71.6","Dibar","Botiquín","7501868901117","","","",""
"MISS","http 404","FC-68901124","Alcohol Etilico Azul 71.6","Dibar","Botiquín","7501868901124","","","",""
"MISS","http 404","FC-68900264","Alcohol Etilico Rojo 96°","Dibar","Botiquín","7501868900264","","","",""
"MISS","http 404","FC-68960257","Alcohol Etilico Rojo 96°","Dibar","Botiquín","7501868900257","","","",""
"MISS","http 404","FC-68900226","Alcohol Etilico Rojo 96°","Dibar","Botiquín","7501868900226","","","",""
"MISS","http 404","FC-68990023","Alcohol Etilico Rojo 96°","Dibar","Botiquín","7501868990023","","","",""
"MISS","http 404","FC-DF39BB27","Alevarin cápsulas C/45","Alevarin","Otro","7501590281105","","","",""
"MISS","http 404","FC-89100101","Algodón 200 g","Dibak","Botiquín","7501868910010","","","",""
"MISS","http 404","FC-68910041","Algodón 25g","Dibar","Botiquín","7501868910041","","","",""
"MISS","http 404","FMX-500311","Ali-Gomitas Gomitas C/60","CMD","Suplemento","7501590281495","","","",""
"MISS","http 404","FC-8505003","Alin Dexametasona 8 mg/2 mL amp","Chinoin","Antibiótico","7501088505003","","","",""
"MISS","http 404","FC-08443026","Alka-Seltzer","Alka-Seltzer","Gastro","7501008443026","","","",""
"MISS","http 429","FC-84999001","Alka-Seltzer","Alka-Seltzer boost","Gastro","7501008499900","","","",""
"MISS","http 404","FC-8497593","Alka-Seltzer Boost C/10","Alka-Seltzer","Gastro","7501008497593","","","",""
"MISS","http 429","FC-053610","Alli-Triple C/10 tabletas","Alli-Triple","Analgésico","650240053610","","","",""
