sku,ean,nombre,marca,stock,motivo
EQ-AMS234,,Pregabalina 28 Cáps 150 mg AMSA,AMSA,1,sin_ean_no_identificado
FC-70100013,2008470100013,Gillette Prestobarba 3 rastrillo desechable 1 pza,Gillette,1,ean_interno
FC-79807468,3664798074680,Enterogermina 2 billones C/10,Enterogermina,1,packshot_pendiente
FC-08006033,020800600330,Tampax Super C/10,Tampax,1,packshot_pendiente
IFC-LAVAOJOS,2008490100017,Copa lavaojos de vidrio,Arfam,1,ean_interno
FC-46504859,7501846504859,Xiomara Pomada B,Xiomara,1,packshot_pendiente
FC-IFC-DON01,2008550100018,Dona / bolsa IJJ-10 C/12,,1,ean_interno
FC-EXP-PALM8,,Jabón Palmolive Neutro Balance 100 g 8 pack,,1,sin_ean_no_identificado
FC-45116656,074451166561,Baby Einstein Neptune's Busy Bubbles juguete sensorial Ocean Explorers,Baby Einstein,1,packshot_pendiente
FMX-71074,6977587671074,Termo Fifa,,1,packshot_pendiente
FC-84500546,7506484500546,Cintapore cinta microporosa piel 2.5 cm x 5m,Cintapore,0,packshot_pendiente
FC-45720208,7502245720208,Quitaesmalte SKN · variante 208 · confirmar,SKN,0,packshot_pendiente
FC-IFC-SIL01,2008520100017,Silika Seda Pure Fruit Pera 120 mL,Silika,0,ean_interno
