sku,barcode,ticket,sev,costo_ticket,costo_inv,precio_actual,precio_corr,nombre
FC-43427754,7501943427754,77827,grave,5.00,31.77,50.84,7.00,Tas Sanit Kotex Nat Flex Noct C/5
FC-75069223,75069223,77827,grave,42.82,16.70,26.72,60.00,Desod Rex Mot-Sen Sport Stick
FC-46655727,7509546655727,77827,grave,12.97,38.31,61.30,19.00,Jbn Mennen Baby Magic Lavan 90 G
FC-45720550,7502245720550,77827,grave,17.20,41.84,66.95,25.00,Silkhair Quita Esmalte Mora Azul 100Ml
FC-00701992,4005900701992,77827,grave,36.30,12.97,20.76,51.00,Nivea 75Ml Cra P/Manos 3En1 Ant-Arrugas
FC-40036965,650240036965,77827,grave,37.68,14.45,23.12,53.00,Jbn Asepxia Bicarbon Sod 100G
FC-48640799,7501048640799,77827,grave,24.84,2.75,4.41,38.00,Protec 15Cmx2.75M 1 Pza Venda De Yeso C12
FC-35911208,7501035911208,77827,grave,23.79,45.83,73.33,34.00,Jbn Liq Palmol Aquarium 221Ml
FC-46657035,7509546657035,77827,grave,23.79,45.83,73.33,34.00,Jbn Lio Palmol Flor Czo-Rsa 221Ml
FC-06241206,7506306241206,77827,grave,32.14,54.12,86.60,45.00,Desod Dove Dermac Sk-C 48H Spy150Ml
FC-86472048,7501086472048,77827,grave,13.50,35.45,56.73,19.00,Cep Dent Accion Mayo Alcan Somed
FC-34062421,75030034062421,FL-080826,grave,27.00,5.29,0.00,44.00,Tela Adhesiva Quirmex 1.25Cmx1M | Quirmex 5 5.40 $ Tela Adhe
FC-52876406,7509552876406,77827,grave,24.71,45.83,73.33,35.00,Desod Obao Men Tatto Aqua R-On 65G
FC-22150092,7501022150092,77827,grave,21.88,42.82,68.52,31.00,Jbn Grisi Leche De Burra 125G
FC-43489165,7501943489165,77827,grave,25.08,45.83,73.33,36.00,Jbn Liq Escudo Blanco Neut 225Ml
FC-35020077,7500435020077,77827,grave,24.91,45.23,72.37,35.00,Sh Hbs Alivio Instant
FC-08837311,4005808837311,77827,grave,32.37,12.54,20.07,46.00,Desod Nivea Pearlb Mspy150Ml
FC-25605514,7506425605514,77827,grave,7.22,26.75,42.80,11.00,Jbn Escudo Antibact 110Gr
FC-82790016,7501082790016,77827,grave,20.65,39.90,63.84,29.00,Tco Nuvel Protec Pura Para Bebe200G
FC-20500171,810120500171,77827,grave,7.40,25.04,40.07,11.00,Cra Pert Oliv+Ac Agu P/Pein 100 Ml
FC-92504539,7506192504539,77827,grave,19.28,36.73,58.77,27.00,Cera Mod Ego Met 25 G
FC-84437151,759684437151,77827,grave,19.77,2.75,4.41,28.00,Acetona Jaloma 120 Ml
FC-45722547,7502245722547,77827,grave,21.08,37.72,60.36,30.00,Agua Mice Natural-G Bifasic 120Ml
FC-48640775,7501048640775,77827,grave,18.05,2.75,4.41,28.00,Protec Tocmx2.75M 1 Pza Venda De Yeso C12
FC-14119032,7503014119032,77827,grave,15.02,30.21,48.34,22.00,Azufre Jabon C Miel 80
FC-45720567,7502245720567,77827,grave,17.20,2.75,4.41,25.00,Silkhair Quita Esmalte Coco 100 Ml
