pagina,ean,descripcion,laboratorio,cantidad,precio_lista,importe_bruto,descuento_pct,precio_neto,importe_neto
10,7501048623006,PADS FACIAL PROTEC REDONDOS C/100,DEGASA,2,21.70,43.40,2.0,21.27,42.53
11,7506022327215,JERINGA SENSIMEDICAL INSUL 0.3 ML C/100,JAYOR,1,217.20,217.20,2.0,212.86,212.86
11,7501868910041,ALGODON DIBAR 25 GR,DIBAR,12,6.90,82.80,2.0,6.76,81.14
11,7501868910010,ALGODON DIBAR 200 GR,DIBAR,2,35.30,70.60,2.0,34.59,69.19
11,7503003406730,VENDA QUIRMEX 7.5 CM,QUIRMEX,12,6.80,81.60,2.0,6.66,79.97
11,7503003406723,VENDA QUIRMEX 5 CM,QUIRMEX,12,5.20,62.40,2.0,5.10,61.15
11,7503003406747,VENDA QUIRMEX 10 CM,QUIRMEX,5,8.90,44.50,2.0,8.72,43.61
11,7503003406778,VENDA QUIRMEX 30 CM,QUIRMEX,4,24.20,96.80,2.0,23.72,94.86
11,7501868910003,ALGODON DIBAR 100 GR,DIBAR,2,19.30,38.60,2.0,18.91,37.83
11,7501868910034,ALGODON DIBAR 50 GR,DIBAR,3,10.10,30.30,2.0,9.90,29.69
11,7509546653495,CREMA DENT COLGATE TOTAL 65 ML,COLGATE PALMOLIVE,4,23.40,93.60,2.0,22.93,91.73
11,7501048351053,GEL ANTIBACTERIAL PROTEC 250 ML,DEGASA,2,22.40,44.80,2.0,21.95,43.90
11,7501868900127,GASA DIBAR 10X10 PAQ 10 CAJITAS/10,DIBAR,1,126.10,126.10,2.0,123.58,123.58
11,7501868900134,GASA DIBAR 10X10 EXH C/100,DIBAR,1,111.10,111.10,2.0,108.88,108.88
11,7501250882017,DERMODINE ESPUMA 120 ML,DEGASA,2,37.60,75.20,2.0,36.85,73.70
11,7501250882000,DERMODINE SOLUCION 120 ML,DEGASA,2,37.60,75.20,2.0,36.85,73.70
11,7501250882024,DERMODINE BUCOFARINGEO 120 ML,DEGASA,2,37.60,75.20,2.0,36.85,73.70
11,7506376000277,CRE VITACILINA FACIAL HUMECTANTE 100 GR,KSK,1,78.60,78.60,2.0,77.03,77.03
12,7500435144414,DES OLD SPICE STICK TRIPACK 50 GR,PG PERF,2,138.50,277.00,2.0,135.73,271.46
12,7501048335169,AGUA OXIGENADA DERMOCLEEN 230ML,DEGASA,2,10.40,20.80,2.0,10.19,20.38
12,650240032257,SUEROX 8IONES MANZANA 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,650240032301,SUEROX 8IONES NARANJA MANDARINA 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,650240072147,SUEROX VITAMINS NARANJA-MANGO 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,650240074455,SUEROX 8IONES UVA MORA AZUL 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,7501048335138,AGUA OXIGENADA DERMOCLEEN 100ML,DEGASA,2,7.80,15.60,2.0,7.64,15.29
12,7501033956775,PEDIALYTE SR60 UVA 500 ML,ABBOTT,2,24.30,48.60,2.0,23.81,47.63
12,650240066139,SUEROX 8IONES FRUTOS ROJOS 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,650240072154,SUEROX VITAMINS MANZANA V-LIMON 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,7501033961373,PEDIALYTE SR60 FRESA 500 ML,ABBOTT,2,24.30,48.60,2.0,23.81,47.63
12,650240032264,SUEROX 8IONES FRESA KIWI 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,650240066306,SUEROX 8IONES FRESA 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,650240032271,SUEROX 8IONES UVA 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,7501048335305,AGUA OXIGENADA DERMOCLEEN 480ML,DEGASA,2,15.00,30.00,2.0,14.70,29.40
12,650240032295,SUEROX 8IONES MORA AZUL 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
12,7501033954740,PEDIALYTE SR60 MANZANA 500 ML,ABBOTT,2,24.30,48.60,2.0,23.81,47.63
13,7501033961366,PEDIALYTE SR60 COCO 500 ML,ABBOTT,1,24.30,24.30,2.0,23.81,23.81
13,650240032325,SUEROX 8IONES LIMA LIMON 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
13,650240035395,SUEROX 8IONES COCO 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
13,650240074448,SUEROX 8IONES COCO PINA 630 ML,GENOMMA LAB,1,15.50,15.50,5.0,14.73,14.73
13,7501059225411,LECHE NIDO KINDER 360 GR,MARCAS NESTLE,1,75.70,75.70,2.0,74.19,74.19
13,7506475106771,LECHE NIDAL 1 360 GR,MARCAS NESTLE,1,112.70,112.70,2.0,110.45,110.45
13,7501058616715,NESTUM PROBIOTICOS AVENA 270 GR,MARCAS NESTLE,1,53.50,53.50,2.0,52.43,52.43
13,7501059282117,LECHE NIDO NUTRI RINDES BOLSA 240 GR,MARCAS NESTLE,1,31.30,31.30,2.0,30.67,30.67
13,7501058611420,LECHE NIDO NUTRI RINDES BOLSA 460 GR,MARCAS NESTLE,1,54.80,54.80,2.0,53.70,53.70
13,7501059233072,LECHE NIDO KINDER BOLSA 144 GR,MARCAS NESTLE,2,30.90,61.80,2.0,30.28,60.56
13,7506475107846,LECHE NAN 1 OPTIMAL PRO BOLSA 120 GR,MARCAS NESTLE,2,64.70,129.40,2.0,63.41,126.81
13,7506475107853,LECHE NAN 2 OPTIMAL PRO BOLSA 120 GR,MARCAS NESTLE,1,59.90,59.90,2.0,58.70,58.70
13,7506475106788,LECHE NIDAL 2 360 GR,MARCAS NESTLE,1,103.90,103.90,2.0,101.82,101.82
13,7501058616678,NESTUM PROBIOTICOS ARROZ 270 GR,MARCAS NESTLE,1,53.50,53.50,2.0,52.43,52.43
13,7506552900322,VASO RECOLECTOR QUIRMEX,QUIRMEX,5,3.70,18.50,2.0,3.63,18.13
13,7501125144851,ELECTROLIT UVA 625 ML,LAB PISA,2,20.50,41.00,2.0,20.09,40.18
13,7501125104411,ELECTROLIT COCO 625 ML,LAB PISA,2,20.50,41.00,2.0,20.09,40.18
14,7501125104688,ELECTROLIT NJA/MANDARINA 625 ML,LAB PISA,2,20.50,41.00,2.0,20.09,40.18
14,7501125149221,ELECTROLIT FRESA-KIWI 625 ML,LAB PISA,2,20.50,41.00,2.0,20.09,40.18
14,7501125104268,ELECTROLIT FRESA 625 ML,LAB PISA,2,20.50,41.00,2.0,20.09,40.18
14,7501125174797,ELECTROLIT MORA AZUL 625 ML,LAB PISA,2,20.50,41.00,2.0,20.09,40.18
14,7501943454873,TOA HUM HUGGIES RELAJANTE C/80,KIMBERLY CLARK,1,39.60,39.60,2.0,38.81,38.81
14,7702003476594,CURITAS EXH C/100,BDF MEXICO,2,32.30,64.60,2.0,31.65,63.31
14,7501943471900,TOA HUM ABSORSEC C/120,KIMBERLY CLARK,2,21.90,43.80,2.0,21.46,42.92
14,7503003406402,COTONETES QUIRMEX TARRO C/100,QUIRMEX,2,12.00,24.00,2.0,11.76,23.52
14,037836041389,CRE HINDS ALMENDRAS 90 ML,GRISI HNOS,1,18.00,18.00,2.0,17.64,17.64
14,7502214983153,LUBRICANTE PRUDENCE GROSELLA 75 ML,DKT MEXICO,1,68.20,68.20,9.0,62.06,62.06
14,7502214983573,COND PRUDENCE CARIBBEAN C/5,DKT MEXICO,1,43.90,43.90,9.0,39.95,39.95
14,759684471476,REPELENTE INSECTOS BIOCLAP 265 ML,LAB JALOMA,2,47.00,94.00,2.0,46.06,92.12
