pagina,codigo_prov,descripcion,lote,caducidad,cantidad,precio_lista,costo_unitario,subtotal,total
39,SON173,RASPISONS 1 UNG 28/35 G,25123585,2027-12-01,1,120.00,19.61,19.61,19.61
40,MAV341,EXALIV 24 TAB 325/5/2 MG,260224,2028-05-01,2,99.00,19.82,39.64,39.64
40,NOV136,NOVAKOSID 20 TAB 8.6 MG,540266,2028-05-01,2,74.00,13.93,27.86,27.86
40,MAV400,LUMBOXEN 1 BOL C/1 PCHE 03/1.20/1/9 %,20251225,2028-12-31,1,35.00,14.37,14.37,16.67
40,AMS292,PANTOPRAZOL 7 TAB 20 MG,U26E384,2028-01-01,2,112.00,11.29,22.58,22.58
40,DAC005,DACLAFIN SUBSALICILATO DE BISMUTO 120,26C0037,2028-03-31,1,52.00,31.49,31.49,31.49
40,MAV250,GALAVER 1 GEL 8MG/1MG/250 ML,262654,2028-04-01,2,282.00,48.22,96.44,96.44
40,GEP030,ML-PRIM 12 CAPS 375MG/200MG,260735,2028-03-01,2,177.00,47.28,94.56,94.56
40,SON233,ZIMETON 20 TAB 130/50/40 MG,26040958,2028-04-30,2,400.00,56.59,113.18,113.18
40,LIF162,PRECICOL 1 GOT 20 ML,26C062,2028-03-31,1,183.60,37.22,37.22,37.22
40,SAN025,REVENOX 60 TAB 3 MG,26340240,2028-02-17,1,330.00,72.13,72.13,72.13
40,QUI091,MAGSOKON 1 CAJA 26 G,253006,2028-08-31,1,73.65,15.61,15.61,15.61
40,ALP0380,LIDOCAINA 1 UNG 5% 35 G,2602578,2028-02-01,1,120.00,23.30,23.30,23.30
41,MAV039,LARITOL 10 TAB 10 MG,257226,2027-12-01,5,93.00,7.01,35.05,35.05
41,COL145,COLLIFRIN ADULTO 1 SOL 50MG/20 ML,26140881,2028-04-06,2,167.30,33.61,67.22,67.22
41,AVI004,OMEPRAZOL 60 CAPS 20 MG,5LM253D,2028-11-15,1,327.93,32.76,32.76,32.76
41,PYG024,NYQUILZ 30 CAPS 25 MG,A00056,2026-10-31,1,351.85,281.55,281.55,281.55
41,PYG016,METANUCIL 1 POLVO SABOR NATURAL 504 G,43421725A1,2026-10-30,1,682.21,545.81,545.81,545.81
