SKU,EAN,STOCK,AVAILABLE
FARMACAPITALmt_fmx-502465,,0,false
FARMACAPITALmt_eq-bio212,7501573909958,0,false
FARMACAPITALmt_fc-66888171,7509546688817,0,false
FARMACAPITALmt_fc-66873531,7509546687353,0,false
FARMACAPITALmt_fc-66534951,7509546653495,1,true
FARMACAPITALmt_fc-60689091,7509546068909,0,false
FARMACAPITALmt_fc-60009851,7509546000985,0,false
FARMACAPITALmt_eq-col120,780083142537,0,false
FARMACAPITALmt_fc-83144302,0780083144302,0,false
FARMACAPITALmt_eq-bio017,7501573900436,0,false
FARMACAPITALmt_fc-64eb83aa,,3,true
FARMACAPITALmt_fc-80953017,7501080953017,0,false
FARMACAPITALmt_fc-80950139,7501080950139,0,false
FARMACAPITALmt_fc-85171118,7501685171118,0,false
FARMACAPITALmt_fc-85171113,7501685171113,0,false
FARMACAPITALmt_fc-58367129,7501058367129,0,false
FARMACAPITALmt_fc-83683367,7501058368126,0,false
FARMACAPITALmt_fc-50608272,75029650608272,0,false
FARMACAPITALmt_eq-deg011,7501825300175,0,false
FARMACAPITALmt_ifc-lavaojos,2008490100017,0,false
FARMACAPITALmt_fc-9490651,7896009490651,0,false
FARMACAPITALmt_fc-34064021,7503003406402,0,false
FARMACAPITALmt_fc-54504535,7501054504535,0,false
FARMACAPITALmt_fc-20501765,8101205017656,0,false
FARMACAPITALmt_fc-36040450,0378360404500,0,false
FARMACAPITALmt_fc-36041273,0378360412734,0,false
FARMACAPITALmt_fc-36041259,037836041259,0,false
FARMACAPITALmt_fc-36041389,037836041389,0,false
FARMACAPITALmt_fc-36041402,0378360414028,0,false
FARMACAPITALmt_fc-36041297,037836041297,0,false
FARMACAPITALmt_fc-20501673,8101205016734,0,false
FARMACAPITALmt_fc-36041341,037836041341,0,false
FARMACAPITALmt_fc-31244486,7702031244486,0,false
FARMACAPITALmt_fc-07528939,7501007528939,0,false
FARMACAPITALmt_fc-35469151,7702035469151,0,false
FARMACAPITALmt_fc-21042481,7501022104248,0,false
FARMACAPITALmt_fc-42417644,42417644,0,false
FARMACAPITALmt_fc-54500216,7501054500216,0,false
FARMACAPITALmt_fc-42270027,42270027,0,false
FARMACAPITALmt_fc-00701992,4005900701992,0,false
FARMACAPITALmt_fc-54549796,7501054549796,0,false
FARMACAPITALmt_fc-08802838,4005808802838,0,false
FARMACAPITALmt_fc-54549819,7501054549819,0,false
FARMACAPITALmt_fc-54503095,7501054503095,0,false
FARMACAPITALmt_fc-52910971,7509552910971,0,false
FARMACAPITALmt_fc-52816297,7509552816297,0,false
FARMACAPITALmt_fc-20500171,8101205001716,0,false
FARMACAPITALmt_fc-56340124,7501056340124,0,false
FARMACAPITALmt_fc-56340117,7501056340117,0,false
FARMACAPITALmt_fc-56342258,7501056342258,0,false
FARMACAPITALmt_fc-56340025,7501056340025,0,false
FARMACAPITALmt_fc-56340131,7501056340131,0,false
FARMACAPITALmt_fc-56342227,7501056342227,0,false
FARMACAPITALmt_fc-56330309,7501056330309,0,false
FARMACAPITALmt_fc-56326142,7501056326142,0,false
FARMACAPITALmt_fc-40030963,6502400309638,0,false
FARMACAPITALmt_fc-40013898,6502400138986,0,false
FARMACAPITALmt_fc-40013850,6502400138504,0,false
FARMACAPITALmt_fc-76000260,7506376000260,0,false
FARMACAPITALmt_fc-76000253,7506376000253,0,false
FARMACAPITALmt_eq-exa042,75053086,0,false
FARMACAPITALmt_eq-mai163,0785120755466,0,false
FARMACAPITALmt_fc-00100013,2008500100013,0,false
FARMACAPITALmt_fc-09747779,7502009747779,0,false
FARMACAPITALmt_fc-09747786,7502009747786,0,false
FARMACAPITALmt_fc-03476594,7702003476594,0,false
FARMACAPITALmt_eq-ser116,7501258205221,0,false
FARMACAPITALmt_fc-53601339,7502253601339,0,false
FARMACAPITALmt_fc-99301968,7501299301968,0,false
FARMACAPITALmt_eq-mav407,7502009749452,0,false
FARMACAPITALmt_eq-mai055,785118752415,0,false
FARMACAPITALmt_fc-85491085,7501385491085,0,false
FARMACAPITALmt_fc-54221482,7501385491146,0,false
FARMACAPITALmt_fc-29670370,7501825304562,0,false
FARMACAPITALmt_fc-1fbf5206,7503002045008,0,false
FARMACAPITALmt_fc-2225010,354312225010,0,false
FARMACAPITALmt_fc-12225027,3543122250276,0,false
FARMACAPITALmt_fc-50882024,7501250882024,0,false
FARMACAPITALmt_fc-50882017,7501250882017,0,false
FARMACAPITALmt_fc-50882000,7501250882000,0,false
